Date; Title
30-06-2022; 国家主席出席礼宾府家宴
30-06-2022; 国家主席视察香港创科发展
30-06-2022; 国家主席会见香港各界人士及纪律部队代表
30-06-2022; 国家主席会见行政长官
30-06-2022; 热烈欢迎国家主席抵港视察
28-06-2022; 港深合作基础扎实　互惠共赢贡献国家
25-06-2022; 行政长官欢迎和感谢国家主席出席庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼
24-06-2022; 行政长官委任海滨事务委员会成员
19-06-2022; 行政长官就新一届政府主要官员任命的声明
17-06-2022; 行政长官会见传媒答问内容
17-06-2022; 行政长官会见传媒开场发言
16-06-2022; 行政长官主持海滨庆祝特区成立二十五周年活动「仲夏．维港」启动礼
16-06-2022; 行政长官欢迎中央公布《广州南沙深化面向世界的粤港澳全面合作总体方案》
15-06-2022; 行政长官主持「地区康健中心──基层医疗健康新里程」典礼
14-06-2022; 行政长官到访PMQ元创方
14-06-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
13-06-2022; 行政长官到访油街实现艺术空间
11-06-2022; 「共庆回归显关怀」计划展开
09-06-2022; 观塘综合发展项目暨公务员学院动土展开工程
09-06-2022; 行政长官答问会答问内容（三）
09-06-2022; 行政长官答问会答问内容（二）
09-06-2022; 行政长官答问会答问内容（一）
09-06-2022; 行政长官答问会开场发言
09-06-2022; 行政长官欢迎立法会通过有关取消强积金「对冲」安排的修订条例草案
08-06-2022; 行政长官主持青年发展委员会第十次会议
08-06-2022; 行政长官哀悼胡法光逝世
07-06-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
06-06-2022; 行政长官主持第二届人力资源规划委员会第七次会议
02-06-2022; 行政长官哀悼布仁立爵士逝世
02-06-2022; 行政长官主持中医医院及政府中药检测中心动土典礼
01-06-2022; 行政长官哀悼安妮．马登夫人逝世
31-05-2022; 庆祝香港特区成立二十五周年连串精彩活动陆续推出
31-05-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
30-05-2022; 行政长官创新及策略发展顾问团第十四次会议
30-05-2022; 行政长官与新加坡国务资政和外交部长会面
27-05-2022; 特区政府欢迎实施ETF通
27-05-2022; 行政长官主持扑灭罪行委员会第265次会议
26-05-2022; 愿景2030聚焦法治国际论坛促进各司法管辖区对法治的了解
24-05-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
21-05-2022; 行政长官和三名局长与「青年委员自荐计划」委员会面交流
19-05-2022; 行政长官主持儿童事务委员会第13次会议
18-05-2022; 行政长官主持第四届扶贫委员会第六次会议
17-05-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
10-05-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
09-05-2022; 行政长官与第六任行政长官当选人会面后会见传媒发言
08-05-2022; 行政长官就第六届行政长官选举结果发表声明
07-05-2022; 行政长官视察行政长官选举工作人员准备情况
05-05-2022; 特区政府为内地援港医疗队举办感谢及欢送仪式
05-05-2022; 行政长官到访南区黄竹坑和鸭脷洲了解「跃动港岛南」进展
04-05-2022; 行政长官视察东铁线过海段会展站及邻近设施
03-05-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
29-04-2022; 行政长官到访观塘了解「起动九龙东」最新发展
26-04-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
22-04-2022; 行政长官到访活化历史建筑伙伴计划项目薄凫林牧场
21-04-2022; 行政长官视察香港中学文凭考试试场安排
20-04-2022; 行政长官与内地疫情防控专家会面
20-04-2022; 行政长官哀悼陈有庆博士逝世
19-04-2022; 行政长官视察竹篙湾社区隔离设施交接
15-04-2022; 行政长官抗疫记者会答问内容
15-04-2022; 行政长官抗疫记者会开场发言
14-04-2022; 行政长官抗疫记者会答问内容
14-04-2022; 行政长官呼吁60岁或以上市民踊跃接种第四剂新冠疫苗
14-04-2022; 行政长官抗疫记者会开场发言
13-04-2022; 行政长官抗疫记者会开场发言及答问内容
12-04-2022; 行政长官欢迎立法会通过政府「2022保就业」计划拨款申请
11-04-2022; 行政长官抗疫记者会开场发言及答问内容
10-04-2022; 行政长官抗疫记者会开场发言及答问内容
09-04-2022; 行政长官抗疫记者会开场发言及答问内容
08-04-2022; 行政长官抗疫记者会开场发言及答问内容
08-04-2022; 政府公布主要官员免职
07-04-2022; 行政长官与中央援港抗疫中医专家组成员会面
07-04-2022; 行政长官抗疫记者会答问内容
07-04-2022; 行政长官抗疫记者会开场发言
06-04-2022; 行政长官抗疫记者会开场发言及答问内容
06-04-2022; 行政长官收到政务司司长的请辞
05-04-2022; 行政长官对离世新冠患者表示深切哀悼
04-04-2022; 行政长官抗疫记者会开场发言及答问内容
03-04-2022; 行政长官抗疫记者会答问内容
03-04-2022; 行政长官抗疫记者会开场发言
02-04-2022; 行政长官会见传媒答问内容
02-04-2022; 行政长官抗疫记者会答问内容
02-04-2022; 行政长官到地区派发「防疫服务包」并呼吁市民齐心抗疫
02-04-2022; 行政长官抗疫记者会开场发言
31-03-2022; 行政长官抗疫记者会答问内容
31-03-2022; 行政长官抗疫记者会开场发言
30-03-2022; 行政长官对两名英国终审法院非常任法官辞职表示遗憾
30-03-2022; 行政长官到访启德暂托中心
30-03-2022; 行政长官及司局长到访不同「防疫服务包」包装中心
30-03-2022; 行政长官抗疫记者会答问内容
30-03-2022; 行政长官抗疫记者会开场发言
29-03-2022; 特区政府欢迎中央政府援港抗疫中医专家组访港
29-03-2022; 行政长官到访加路连山道短期社区疫苗接种中心
29-03-2022; 行政长官在深圳湾口岸会见传媒答问内容
28-03-2022; 行政长官抗疫记者会开场发言及答问内容
27-03-2022; 行政长官抗疫记者会开场发言及答问内容
26-03-2022; 行政长官抗疫记者会开场发言及答问内容
