Date; Title
30-06-2022; 國家主席出席禮賓府家宴
30-06-2022; 國家主席視察香港創科發展
30-06-2022; 國家主席會見香港各界人士及紀律部隊代表
30-06-2022; 國家主席會見行政長官
30-06-2022; 熱烈歡迎國家主席抵港視察
28-06-2022; 港深合作基礎紮實　互惠共贏貢獻國家
25-06-2022; 行政長官歡迎和感謝國家主席出席慶祝香港回歸祖國25周年大會暨香港特別行政區第六屆政府就職典禮
24-06-2022; 行政長官委任海濱事務委員會成員
19-06-2022; 行政長官就新一屆政府主要官員任命的聲明
17-06-2022; 行政長官會見傳媒答問內容
17-06-2022; 行政長官會見傳媒開場發言
16-06-2022; 行政長官主持海濱慶祝特區成立二十五周年活動「仲夏．維港」啟動禮
16-06-2022; 行政長官歡迎中央公布《廣州南沙深化面向世界的粵港澳全面合作總體方案》
15-06-2022; 行政長官主持「地區康健中心──基層醫療健康新里程」典禮
14-06-2022; 行政長官到訪PMQ元創方
14-06-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
13-06-2022; 行政長官到訪油街實現藝術空間
11-06-2022; 「共慶回歸顯關懷」計劃展開
09-06-2022; 觀塘綜合發展項目暨公務員學院動土展開工程
09-06-2022; 行政長官答問會答問內容（三）
09-06-2022; 行政長官答問會答問內容（二）
09-06-2022; 行政長官答問會答問內容（一）
09-06-2022; 行政長官答問會開場發言
09-06-2022; 行政長官歡迎立法會通過有關取消強積金「對沖」安排的修訂條例草案
08-06-2022; 行政長官主持青年發展委員會第十次會議
08-06-2022; 行政長官哀悼胡法光逝世
07-06-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
06-06-2022; 行政長官主持第二屆人力資源規劃委員會第七次會議
02-06-2022; 行政長官哀悼布仁立爵士逝世
02-06-2022; 行政長官主持中醫醫院及政府中藥檢測中心動土典禮
01-06-2022; 行政長官哀悼安妮．馬登夫人逝世
31-05-2022; 慶祝香港特區成立二十五周年連串精彩活動陸續推出
31-05-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
30-05-2022; 行政長官創新及策略發展顧問團第十四次會議
30-05-2022; 行政長官與新加坡國務資政和外交部長會面
27-05-2022; 特區政府歡迎實施ETF通
27-05-2022; 行政長官主持撲滅罪行委員會第265次會議
26-05-2022; 願景2030聚焦法治國際論壇促進各司法管轄區對法治的了解
24-05-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
21-05-2022; 行政長官和三名局長與「青年委員自薦計劃」委員會面交流
19-05-2022; 行政長官主持兒童事務委員會第13次會議
18-05-2022; 行政長官主持第四屆扶貧委員會第六次會議
17-05-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
10-05-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
09-05-2022; 行政長官與第六任行政長官當選人會面後會見傳媒發言
08-05-2022; 行政長官就第六屆行政長官選舉結果發表聲明
07-05-2022; 行政長官視察行政長官選舉工作人員準備情況
05-05-2022; 特區政府為內地援港醫療隊舉辦感謝及歡送儀式
05-05-2022; 行政長官到訪南區黃竹坑和鴨脷洲了解「躍動港島南」進展
04-05-2022; 行政長官視察東鐵線過海段會展站及鄰近設施
03-05-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
29-04-2022; 行政長官到訪觀塘了解「起動九龍東」最新發展
26-04-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
22-04-2022; 行政長官到訪活化歷史建築伙伴計劃項目薄鳧林牧場
21-04-2022; 行政長官視察香港中學文憑考試試場安排
20-04-2022; 行政長官與內地疫情防控專家會面
20-04-2022; 行政長官哀悼陳有慶博士逝世
19-04-2022; 行政長官視察竹篙灣社區隔離設施交接
15-04-2022; 行政長官抗疫記者會答問內容
15-04-2022; 行政長官抗疫記者會開場發言
14-04-2022; 行政長官抗疫記者會答問內容
14-04-2022; 行政長官呼籲60歲或以上市民踴躍接種第四劑新冠疫苗
14-04-2022; 行政長官抗疫記者會開場發言
13-04-2022; 行政長官抗疫記者會開場發言及答問內容
12-04-2022; 行政長官歡迎立法會通過政府「2022保就業」計劃撥款申請
11-04-2022; 行政長官抗疫記者會開場發言及答問內容
10-04-2022; 行政長官抗疫記者會開場發言及答問內容
09-04-2022; 行政長官抗疫記者會開場發言及答問內容
08-04-2022; 行政長官抗疫記者會開場發言及答問內容
08-04-2022; 政府公布主要官員免職
07-04-2022; 行政長官與中央援港抗疫中醫專家組成員會面
07-04-2022; 行政長官抗疫記者會答問內容
07-04-2022; 行政長官抗疫記者會開場發言
06-04-2022; 行政長官抗疫記者會開場發言及答問內容
06-04-2022; 行政長官收到政務司司長的請辭
05-04-2022; 行政長官對離世新冠患者表示深切哀悼
04-04-2022; 行政長官抗疫記者會開場發言及答問內容
03-04-2022; 行政長官抗疫記者會答問內容
03-04-2022; 行政長官抗疫記者會開場發言
02-04-2022; 行政長官會見傳媒答問內容
02-04-2022; 行政長官抗疫記者會答問內容
02-04-2022; 行政長官到地區派發「防疫服務包」並呼籲市民齊心抗疫
02-04-2022; 行政長官抗疫記者會開場發言
31-03-2022; 行政長官抗疫記者會答問內容
31-03-2022; 行政長官抗疫記者會開場發言
30-03-2022; 行政長官對兩名英國終審法院非常任法官辭職表示遺憾
30-03-2022; 行政長官到訪啟德暫託中心
30-03-2022; 行政長官及司局長到訪不同「防疫服務包」包裝中心
30-03-2022; 行政長官抗疫記者會答問內容
30-03-2022; 行政長官抗疫記者會開場發言
29-03-2022; 特區政府歡迎中央政府援港抗疫中醫專家組訪港
29-03-2022; 行政長官到訪加路連山道短期社區疫苗接種中心
29-03-2022; 行政長官在深圳灣口岸會見傳媒答問內容
28-03-2022; 行政長官抗疫記者會開場發言及答問內容
27-03-2022; 行政長官抗疫記者會開場發言及答問內容
26-03-2022; 行政長官抗疫記者會開場發言及答問內容
25-03-2022; 行政長官抗疫記者會答問內容
25-03-2022; 行政長官抗疫記者會開場發言
24-03-2022; 行政長官視察接收元朗社區隔離設施
24-03-2022; 行政長官抗疫記者會開場發言及答問內容
23-03-2022; 行政長官就特區疫情發展及抗疫措施與內地專家交流意見
23-03-2022; 行政長官答問會答問內容（三）
23-03-2022; 行政長官答問會答問內容（二）
23-03-2022; 行政長官答問會答問內容（一）
23-03-2022; 行政長官抗疫記者會答問內容
23-03-2022; 行政長官抗疫記者會開場發言
21-03-2022; 行政長官抗疫記者會答問內容
21-03-2022; 行政長官抗疫記者會開場發言
20-03-2022; 行政長官抗疫記者會開場發言及答問內容
19-03-2022; 行政長官抗疫記者會開場發言及答問內容
18-03-2022; 行政長官到訪香港大學駐港怡醫院兒童社區疫苗接種中心
18-03-2022; 行政長官抗疫記者會答問內容
18-03-2022; 行政長官抗疫記者會開場發言
17-03-2022; 行政長官哀悼羅偉祥逝世
17-03-2022; 行政長官抗疫記者會開場發言及答問內容
16-03-2022; 行政長官在香園圍邊境管制站會見傳媒開場發言及答問內容
16-03-2022; 行政長官歡迎內地援港醫療隊抵港
16-03-2022; 行政長官抗疫記者會答問內容
16-03-2022; 行政長官抗疫記者會開場發言
15-03-2022; 行政長官哀悼蔣震博士逝世
14-03-2022; 行政長官抗疫記者會開場發言及答問內容
13-03-2022; 行政長官視察屯門「圍封強檢」行動
13-03-2022; 行政長官抗疫記者會開場發言及答問內容
12-03-2022; 行政長官抗疫記者會開場發言及答問內容
12-03-2022; 行政長官到訪浸會大學中醫抗疫遠程醫療中心
11-03-2022; 行政長官抗疫記者會開場發言及答問內容
10-03-2022; 行政長官抗疫記者會開場發言及答問內容
09-03-2022; 行政長官抗疫記者會開場發言及答問內容
05-03-2022; 特區政府全力抗擊當前疫情
04-03-2022; 行政長官辦公室主任家人確診2019冠狀病毒病
04-03-2022; 行政長官感謝內地專家組考察和指導特區抗疫工作
02-03-2022; 首班跨境鐵路貨運列車運載防疫抗疫物資抵港
02-03-2022; 行政長官在羅湖會見傳媒開場發言及答問內容
28-02-2022; 行政長官在深圳灣口岸會見傳媒答問內容
28-02-2022; 中央援港抗疫措施源源不絕
28-02-2022; 行政長官就盡快穩控第五波疫情向市民發表講話
27-02-2022; 行政長官與廣東省衞健委代表和內地流行病學專家組會面
24-02-2022; 特區政府上下同心全力抗擊當前疫情
23-02-2022; 行政長官感謝立法會因應嚴峻疫情就立法會事務作出特別安排
23-02-2022; 行政長官就二零二二至二三年度《財政預算案》發表聲明
22-02-2022; 行政長官會見傳媒答問內容
22-02-2022; 行政長官會見傳媒開場發言
19-02-2022; 行政長官感謝中央支援源源不絕助港抗疫
18-02-2022; 行政長官會見傳媒答問內容
18-02-2022; 行政長官會見傳媒開場發言
18-02-2022; 行政長官感謝立法會通過《2021年施政報告》致謝議案
18-02-2022; 一名在行政長官辦公室工作的合約清潔員工新冠病毒快速測試結果初步陽性
17-02-2022; 行政長官感謝立法會議員和社會各界支持政府抗擊疫情
17-02-2022; 行政長官在深圳灣口岸與傳媒答問內容
16-02-2022; 行政長官就推展社區隔離設施酒店計劃與酒店業界會面
16-02-2022; 特區政府用好中央支持　負起主體責任抗擊疫情
15-02-2022; 行政長官歡迎立法會通過政府第六輪「防疫抗疫基金」撥款申請
15-02-2022; 行政長官辦公室公布
15-02-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
13-02-2022; 特區政府用好中央支持奮力遏制疫情
13-02-2022; 行政長官哀悼利陸雁群逝世
08-02-2022; 行政長官會見傳媒開場發言及答問內容
08-02-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
04-02-2022; 行政長官會見傳媒開場發言及答問內容
03-02-2022; 行政長官在新春期間探訪醫護和檢測承辦商
02-02-2022; 行政長官繼續在新春期間探訪抗疫人員
01-02-2022; 行政長官到訪個案追蹤辦公室
31-01-2022; 行政長官就有關官員出席宴會事件調查會見傳媒答問內容
31-01-2022; 行政長官有關官員出席宴會事件調查的聲明
31-01-2022; 行政長官發表農曆新年賀辭
27-01-2022; 行政長官會見傳媒開場發言及答問內容
25-01-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
23-01-2022; 行政長官視察葵涌邨圍封及強制檢測行動
22-01-2022; 行政長官抗疫記者會開場發言及答問內容
20-01-2022; 行政長官辦公室嚴正譴責恐嚇行為
19-01-2022; 行政長官哀悼湯偉奇博士逝世
18-01-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
14-01-2022; 行政長官抗疫記者會開場發言及答問內容
12-01-2022; 行政長官與教資會成員會面
12-01-2022; 行政長官答問會答問內容（二）
12-01-2022; 行政長官答問會答問內容（一）
12-01-2022; 行政長官答問會開場發言
11-01-2022; 行政長官於行政會議前會見傳媒答問內容
11-01-2022; 行政長官於行政會議前會見傳媒開場發言
10-01-2022; 亞洲金融論壇探討全球經濟逐步復蘇下發展可持續未來的新常態
10-01-2022; 行政長官與駐港部隊司令員會面
07-01-2022; 行政長官有關官員出席宴會事件的聲明
06-01-2022; 行政長官會見傳媒開場發言及答問內容
06-01-2022; 行政長官哀悼方潤華逝世
05-01-2022; 行政長官抗疫記者會開場發言及答問內容
04-01-2022; 行政長官哀悼張有興逝世
04-01-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
03-01-2022; 行政長官確定全體候任立法會議員宣誓有效
30-12-2021; 行政長官檢閱入境事務處學員結業會操暨六十周年大會操
30-12-2021; 行政長官會見傳媒答問內容
30-12-2021; 行政長官會見傳媒開場發言
22-12-2021; 行政長官在北京會見傳媒答問內容
20-12-2021; 行政長官會見傳媒開場發言及答問內容
20-12-2021; 行政長官歡迎《「一國兩制」下香港的民主發展》白皮書
20-12-2021; 行政長官前往北京述職
19-12-2021; 完善選舉制度後首場立法會選舉投票結束
19-12-2021; 行政長官立法會選舉投票後會見傳媒談話內容
17-12-2021; 公務員學院舉辦「年度國際形勢和中國外交」專題報告會
14-12-2021; 行政長官於行政會議前會見傳媒開場發言及答問內容
13-12-2021; 行政長官辦公室嚴正譴責恐嚇行為
09-12-2021; 公務員學院成立標誌公務員培訓發展邁向新里程
07-12-2021; 行政長官創新及策略發展顧問團第十三次會議
07-12-2021; 行政長官於行政會議前會見傳媒開場發言及答問內容
06-12-2021; 行政長官就國務院港澳事務辦公室主任的發言發表聲明
01-12-2021; 行政長官訪問武漢大學與大學生交流
30-11-2021; 行政長官與武漢市領導會面
