Date; Title
22-06-2012; 行政长官到北京主持「迈向更好明天－庆祝香港特别行政区成立十五周年成就展」开幕典礼
21-06-2012; 行政长官会见传媒谈话全文
14-06-2012; 行政长官答问会答问全文（四）
14-06-2012; 行政长官答问会答问全文（三）
14-06-2012; 行政长官答问会答问全文（二）
14-06-2012; 行政长官与广东省委书记会面
14-06-2012; 行政长官答问会答问全文（一）
14-06-2012; 行政长官答问会开场发言
13-06-2012; 行政长官与传媒答问全文
12-06-2012; 行政长官赞扬香港教师竭尽所能培育学生
01-06-2012; 行政长官会见传媒发言全文
31-05-2012; 政府回应防止及处理潜在利益冲突独立检讨委员会报告
31-05-2012; 特首办回应审计署署长报告
31-05-2012; 行政长官办公室就东方日报文章作澄清
15-05-2012; 行政长官会见传媒谈话全文
08-05-2012; 行政长官会见传媒谈话全文
27-04-2012; 行政长官核准委任香港交易所主席
25-04-2012; 行政长官回应出访期间的酒店安排
23-04-2012; 行政长官会见传媒谈话全文
20-04-2012; 行政长官会见传媒谈话全文
19-04-2012; 行政长官谈话全文
18-04-2012; 行政长官结束三国访问行程
15-04-2012; 行政长官完成智利访问行程
13-04-2012; 行政长官展开智利访问行程
12-04-2012; 行政长官办公室发表声明
10-04-2012; 行政长官展开新西兰访问行程
05-04-2012; 行政长官出访新西兰、智利及巴西
28-03-2012; 短期署任安排
26-03-2012; 行政长官与候任行政长官会面后会见传媒发言全文
25-03-2012; 行政长官就行政长官选举结果发表声明
24-03-2012; 行政长官与印尼总统会面
06-03-2012; 行政长官会见传媒总结访京之行谈话全文
04-03-2012; 行政长官在北京会见传媒谈话全文
04-03-2012; 行政长官谈话全文
02-03-2012; 行政长官列席人大会议开幕式
01-03-2012; 行政长官答问会答问全文（三）
01-03-2012; 行政长官答问会答问全文（二）
01-03-2012; 行政长官答问会答问全文（一）
01-03-2012; 行政长官答问会开场发言
01-03-2012; 行政长官办公室作严正澄清
28-02-2012; 行政长官致函公务员
27-02-2012; 行政长官出席立法会特别答问会
26-02-2012; 特首办回应有关行政长官二○○八年中东之行报道
26-02-2012; 行政长官详细回应近期传媒有关他的报道
26-02-2012; 行政长官会见传媒的谈话全文
26-02-2012; 政府成立独立委员会检讨防止利益冲突规管框架和程序
24-02-2012; 有关苹果日报今早就行政长官存酒报道
22-02-2012; 行政长官与传媒谈话内容
08-02-2012; 短期署任安排
01-02-2012; 行政长官就二○一二至一三年度财政预算案发表声明
22-01-2012; 行政长官发表农历新年贺辞
21-01-2012; 行政长官和夫人向市民拜年
20-01-2012; 行政长官出访瑞士
20-01-2012; 行政长官参观年宵市场后会见传媒发言全文
19-01-2012; 行政长官答问会答问全文（五）
19-01-2012; 行政长官答问会答问全文（四）
19-01-2012; 行政长官答问会答问全文（三）
19-01-2012; 行政长官答问会答问全文（二）
19-01-2012; 行政长官答问会答问全文（一）
05-01-2012; 行政长官谈沪港经贸合作会议
05-01-2012; 沪港经贸合作会议第二次会议
03-01-2012; 行政长官前往上海出席沪港经贸合作会议
31-12-2011; 行政长官会见传媒谈话全文
26-12-2011; 行政长官于北京述职后会见传媒答问全文
26-12-2011; 行政长官于北京述职后会见传媒开场发言
22-12-2011; 行政长官前往北京述职
14-12-2011; 行政长官会见传媒谈话全文
13-12-2011; 《内地与香港关于建立更紧密经贸关系的安排补充协议八》深化服务贸易开放
11-12-2011; 行政长官谈话全文
02-12-2011; 行政长官休假
01-12-2011; 行政长官谈旺角火灾
30-11-2011; 行政长官探望旺角火警伤者后会见传媒谈话全文
29-11-2011; 行政长官了解国际厨艺学院和青年学院落实进展
29-11-2011; 行政长官会见传媒谈话全文
25-11-2011; 行政长官检阅入境事务学院结业暨金禧大会操
24-11-2011; 行政长官会见传媒谈话全文
21-11-2011; 行政长官会见传媒谈话全文
17-11-2011; 行政长官谈观看足球练习赛事
14-11-2011; 行政长官在檀香山会见传媒总结访美行程
12-11-2011; 行政长官出席亚太经合组织峰会谈金融稳定
12-11-2011; 行政长官谈与国家主席会面
10-11-2011; 行政长官访问华盛顿
09-11-2011; 行政长官继续访美行程
08-11-2011; 署理行政长官谈区议会选举
08-11-2011; 行政长官展开访美行程
07-11-2011; 署理行政长官会晤中国国民党荣誉主席
07-11-2011; 行政长官会见传媒谈话内容
07-11-2011; 行政长官巡视点票站后谈区议会选举
06-11-2011; 行政长官谈区议会选举
31-10-2011; 行政长官出访美国及到夏威夷出席亚太区经济合作组织会议
29-10-2011; 行政长官主持二○一一年度勋衔颁授典礼
21-10-2011; 行政长官休假
15-10-2011; 行政长官发表《香港家书》
