Date; Title
22-06-2012; 行政長官到北京主持「邁向更好明天－慶祝香港特別行政區成立十五周年成就展」開幕典禮
21-06-2012; 行政長官會見傳媒談話全文
14-06-2012; 行政長官答問會答問全文（四）
14-06-2012; 行政長官答問會答問全文（三）
14-06-2012; 行政長官答問會答問全文（二）
14-06-2012; 行政長官與廣東省委書記會面
14-06-2012; 行政長官答問會答問全文（一）
14-06-2012; 行政長官答問會開場發言
13-06-2012; 行政長官與傳媒答問全文
12-06-2012; 行政長官讚揚香港教師竭盡所能培育學生
01-06-2012; 行政長官會見傳媒發言全文
31-05-2012; 政府回應防止及處理潛在利益衝突獨立檢討委員會報告
31-05-2012; 特首辦回應審計署署長報告
31-05-2012; 行政長官辦公室就東方日報文章作澄清
15-05-2012; 行政長官會見傳媒談話全文
08-05-2012; 行政長官會見傳媒談話全文
27-04-2012; 行政長官核准委任香港交易所主席
25-04-2012; 行政長官回應出訪期間的酒店安排
23-04-2012; 行政長官會見傳媒談話全文
20-04-2012; 行政長官會見傳媒談話全文
19-04-2012; 行政長官談話全文
18-04-2012; 行政長官結束三國訪問行程
15-04-2012; 行政長官完成智利訪問行程
13-04-2012; 行政長官展開智利訪問行程
12-04-2012; 行政長官辦公室發表聲明
10-04-2012; 行政長官展開新西蘭訪問行程
05-04-2012; 行政長官出訪新西蘭、智利及巴西
28-03-2012; 短期署任安排
26-03-2012; 行政長官與候任行政長官會面後會見傳媒發言全文
25-03-2012; 行政長官就行政長官選舉結果發表聲明
24-03-2012; 行政長官與印尼總統會面
06-03-2012; 行政長官會見傳媒總結訪京之行談話全文
04-03-2012; 行政長官在北京會見傳媒談話全文
04-03-2012; 行政長官談話全文
02-03-2012; 行政長官列席人大會議開幕式
01-03-2012; 行政長官答問會答問全文（三）
01-03-2012; 行政長官答問會答問全文（二）
01-03-2012; 行政長官答問會答問全文（一）
01-03-2012; 行政長官答問會開場發言
01-03-2012; 行政長官辦公室作嚴正澄清
28-02-2012; 行政長官致函公務員
27-02-2012; 行政長官出席立法會特別答問會
26-02-2012; 特首辦回應有關行政長官二○○八年中東之行報道
26-02-2012; 行政長官詳細回應近期傳媒有關他的報道
26-02-2012; 行政長官會見傳媒的談話全文
26-02-2012; 政府成立獨立委員會檢討防止利益衝突規管框架和程序
24-02-2012; 有關蘋果日報今早就行政長官存酒報道
22-02-2012; 行政長官與傳媒談話內容
08-02-2012; 短期署任安排
01-02-2012; 行政長官就二○一二至一三年度財政預算案發表聲明
22-01-2012; 行政長官發表農曆新年賀辭
21-01-2012; 行政長官和夫人向市民拜年
20-01-2012; 行政長官出訪瑞士
20-01-2012; 行政長官參觀年宵市場後會見傳媒發言全文
19-01-2012; 行政長官答問會答問全文（五）
19-01-2012; 行政長官答問會答問全文（四）
19-01-2012; 行政長官答問會答問全文（三）
19-01-2012; 行政長官答問會答問全文（二）
19-01-2012; 行政長官答問會答問全文（一）
05-01-2012; 行政長官談滬港經貿合作會議
05-01-2012; 滬港經貿合作會議第二次會議
03-01-2012; 行政長官前往上海出席滬港經貿合作會議
31-12-2011; 行政長官會見傳媒談話全文
26-12-2011; 行政長官於北京述職後會見傳媒答問全文
26-12-2011; 行政長官於北京述職後會見傳媒開場發言
22-12-2011; 行政長官前往北京述職
14-12-2011; 行政長官會見傳媒談話全文
13-12-2011; 《內地與香港關於建立更緊密經貿關係的安排補充協議八》深化服務貿易開放
11-12-2011; 行政長官談話全文
02-12-2011; 行政長官休假
01-12-2011; 行政長官談旺角火災
30-11-2011; 行政長官探望旺角火警傷者後會見傳媒談話全文
29-11-2011; 行政長官了解國際廚藝學院和青年學院落實進展
29-11-2011; 行政長官會見傳媒談話全文
25-11-2011; 行政長官檢閱入境事務學院結業暨金禧大會操
24-11-2011; 行政長官會見傳媒談話全文
21-11-2011; 行政長官會見傳媒談話全文
17-11-2011; 行政長官談觀看足球練習賽事
14-11-2011; 行政長官在檀香山會見傳媒總結訪美行程
12-11-2011; 行政長官出席亞太經合組織峰會談金融穩定
12-11-2011; 行政長官談與國家主席會面
10-11-2011; 行政長官訪問華盛頓
09-11-2011; 行政長官繼續訪美行程
08-11-2011; 署理行政長官談區議會選舉
08-11-2011; 行政長官展開訪美行程
07-11-2011; 署理行政長官會晤中國國民黨榮譽主席
07-11-2011; 行政長官會見傳媒談話內容
07-11-2011; 行政長官巡視點票站後談區議會選舉
06-11-2011; 行政長官談區議會選舉
31-10-2011; 行政長官出訪美國及到夏威夷出席亞太區經濟合作組織會議
29-10-2011; 行政長官主持二○一一年度勳銜頒授典禮
21-10-2011; 行政長官休假
15-10-2011; 行政長官發表《香港家書》
14-10-2011; 行政長官廣州會見傳媒談話全文
13-10-2011; 行政長官《施政報告》答問會（五）
13-10-2011; 行政長官《施政報告》答問會（四）
13-10-2011; 行政長官《施政報告》答問會（三）
13-10-2011; 行政長官《施政報告》答問會（二）
13-10-2011; 行政長官《施政報告》答問會（一）
13-10-2011; 行政長官談立法會答問會
12-10-2011; 行政長官《施政報告》記者會談話全文（二）
12-10-2011; 行政長官《施政報告》記者會談話全文（一）
12-10-2011; 行政長官出席中國出口商品交易會
12-10-2011; 行政長官在《施政報告》推出新居屋計劃
12-10-2011; 行政長官在《施政報告》就人口老化、人才培育宣布一系列政策
12-10-2011; 行政長官最後一份《施政報告》切實處理市民最關心問題
11-10-2011; 施政報告聯合烽煙節目
10-10-2011; 施政報告及有關刊物星期三公開派發
10-10-2011; 施政報告星期三電視電台網上直播
10-10-2011; 行政長官向立法會發表施政報告
03-10-2011; 行政長官辦公室聲明
30-09-2011; 行政長官談任命政務司司長、政制及內地事務局局長、行政長官辦公室主任
30-09-2011; 政府主要官員任命公布
28-09-2011; 行政長官發表聲明
23-09-2011; 行政長官回應傳媒提問
