Date; Title
25-06-2022; 候任行政长官欢迎和感谢国家主席出席庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼
22-06-2022; 公布新一届行政会议成员名单
19-06-2022; 候任行政长官在第六届香港特别行政区政府主要官员任命记者会谈话全文（四）
19-06-2022; 候任行政长官在第六届香港特别行政区政府主要官员任命记者会谈话全文（三）
19-06-2022; 候任行政长官在第六届香港特别行政区政府主要官员任命记者会谈话全文（二）
19-06-2022; 候任行政长官在第六届香港特别行政区政府主要官员任命记者会谈话全文（一）
19-06-2022; 候任行政长官就第六届香港特别行政区政府主要官员任命记者会开场发言
19-06-2022; 第六届香港特区政府主要官员名单
17-06-2022; ​候任行政长官会见传媒开场发言及答问内容
15-06-2022; 候任行政长官欢迎立法会通过重组方案
01-06-2022; 候任行政长官与新加坡国务资政会面
31-05-2022; 候任行政长官会见传媒谈话全文
30-05-2022; 候任行政长官在北京接受任命令
27-05-2022; 候任行政长官赴京接受任令
23-05-2022; 候任行政长官继续与立法会议员会面
20-05-2022; 候任行政长官感谢中央政府任命
20-05-2022; 行政长官当选人继续与立法会议员会面
19-05-2022; 行政长官当选人继续与立法会议员会面
17-05-2022; 行政长官当选人会见传媒谈话全文
16-05-2022; 行政长官当选人与立法会议员分批会面
15-05-2022; 行政长官当选人会见传媒谈话全文
09-05-2022; 行政长官当选人拜会立法会主席后会见传媒谈话全文
09-05-2022; 行政长官当选人拜会中央驻港机构
09-05-2022; 行政长官当选人进行礼节性拜访
09-05-2022; 行政长官当选人会见传媒发言全文
08-05-2022; 行政长官当选人会见传媒开场发言
31-12-2022; 行政长官就全国人大常委会就《香港国安法》的解释会见传媒的答问全文
30-12-2022; 行政长官就全国人大常委会就《香港国安法》的解释会见传媒开场发言
30-12-2022; 行政长官就全国人大常委会就《香港国安法》的解释发表声明
28-12-2022; 行政长官「应对疫情指导及协调组」记者会答问内容
28-12-2022; 行政长官「应对疫情指导及协调组」记者会开场发言
27-12-2022; 行政长官暨香港特区维护国家安全委员会主席就全国人民代表大会常务委员会把解释《香港国安法》有关条款的议案列入议程作出的声明
27-12-2022; 特首政策组正式成立
25-12-2022; 「通关事务协调组」召开首次会议
24-12-2022; 行政长官会见传媒谈话全文
23-12-2022; 行政长官向国家领导人述职
20-12-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
20-12-2022; 行政长官前往北京述职
19-12-2022; 特区政府热烈欢迎扩大沪深港通合资格股票范围
19-12-2022; 行政长官确定二○二二年立法会选举委员会界别补选当选议员宣誓有效
18-12-2022; 行政长官祝贺立法会选举委员会界别补选当选议员
15-12-2022; 国际创新及科技高峰会圆满结束
14-12-2022; 「融入国家发展大局督导组」和「北部都会区督导委员会」举行首次会议
13-12-2022; 行政长官为「建造创新博览会2022」揭幕
13-12-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
12-12-2022; 三十二个决策局／部门获公务员优质服务奖
11-12-2022; 行政长官会见传媒谈话全文
06-12-2022; 香港特别行政区各界为悼念前国家主席江泽民默哀
04-12-2022; 特区政府今日举办二○二二年「国家宪法日」座谈会
02-12-2022; 行政长官检阅入境事务处学员结业会操
01-12-2022; 行政长官、特区政府主要官员及行政会议非官守议员吊唁已故前国家主席江泽民
30-11-2022; 行政长官悼念前国家主席江泽民逝世
30-11-2022; 行政长官与世界知识产权组织总干事会面
29-11-2022; 行政长官于行政会议前会见传媒开场发言及答问内容
28-11-2022; 行政长官已向中央人民政府就《香港国安法》第十一条要求提交报告
28-11-2022; 行政长官就《香港国安法》向中央人民政府提交报告并建议提请全国人大常委会根据《香港国安法》作出解释会见传媒答问内容
28-11-2022; 行政长官就《香港国安法》向中央人民政府提交报告并建议提请全国人大常委会根据《香港国安法》作出解释的声明
21-11-2022; 行政长官办公室回应传媒查询
21-11-2022; 香港海运周2022
21-11-2022; 行政长官2019冠状病毒病核酸检测呈阳性
20-11-2022; 行政长官率商贸代表团在泰国说好香港故事
20-11-2022; 行政长官在泰国曼谷会见传媒谈话全文
19-11-2022; 行政长官与亚太经合组织领导人讨论可持续贸易和投资
19-11-2022; 行政长官在泰国曼谷会见传媒谈话全文
18-11-2022; 行政长官在泰国出席亚太区经济合作组织会议
18-11-2022; 行政长官感谢立法会通过《施政报告》致谢议案
17-11-2022; 行政长官展开泰国曼谷访问行程
17-11-2022; 行政长官会见传媒谈话全文
17-11-2022; 行政长官会见传媒谈话全文
16-11-2022; 特区政府举办中共二十大精神分享会
