Date; Title
25-06-2022; 候任行政長官歡迎和感謝國家主席出席慶祝香港回歸祖國25周年大會暨香港特別行政區第六屆政府就職典禮
22-06-2022; 公布新一屆行政會議成員名單
19-06-2022; 候任行政長官在第六屆香港特別行政區政府主要官員任命記者會談話全文（四）
19-06-2022; 候任行政長官在第六屆香港特別行政區政府主要官員任命記者會談話全文（三）
19-06-2022; 候任行政長官在第六屆香港特別行政區政府主要官員任命記者會談話全文（二）
19-06-2022; 候任行政長官在第六屆香港特別行政區政府主要官員任命記者會談話全文（一）
19-06-2022; 候任行政長官就第六屆香港特別行政區政府主要官員任命記者會開場發言
19-06-2022; 第六屆香港特區政府主要官員名單
17-06-2022; ​候任行政長官會見傳媒開場發言及答問內容
15-06-2022; 候任行政長官歡迎立法會通過重組方案
01-06-2022; 候任行政長官與新加坡國務資政會面
31-05-2022; 候任行政長官會見傳媒談話全文
30-05-2022; 候任行政長官在北京接受任命令
27-05-2022; 候任行政長官赴京接受任令
23-05-2022; 候任行政長官繼續與立法會議員會面
20-05-2022; 候任行政長官感謝中央政府任命
20-05-2022; 行政長官當選人繼續與立法會議員會面
19-05-2022; 行政長官當選人繼續與立法會議員會面
17-05-2022; 行政長官當選人會見傳媒談話全文
16-05-2022; 行政長官當選人與立法會議員分批會面
15-05-2022; 行政長官當選人會見傳媒談話全文
09-05-2022; 行政長官當選人拜會立法會主席後會見傳媒談話全文
09-05-2022; 行政長官當選人拜會中央駐港機構
09-05-2022; 行政長官當選人進行禮節性拜訪
09-05-2022; 行政長官當選人會見傳媒發言全文
08-05-2022; 行政長官當選人會見傳媒開場發言
31-12-2022; 行政長官就全國人大常委會就《香港國安法》的解釋會見傳媒的答問全文
30-12-2022; 行政長官就全國人大常委會就《香港國安法》的解釋會見傳媒開場發言
30-12-2022; 行政長官就全國人大常委會就《香港國安法》的解釋發表聲明
28-12-2022; 行政長官「應對疫情指導及協調組」記者會答問內容
28-12-2022; 行政長官「應對疫情指導及協調組」記者會開場發言
27-12-2022; 行政長官暨香港特區維護國家安全委員會主席就全國人民代表大會常務委員會把解釋《香港國安法》有關條款的議案列入議程作出的聲明
27-12-2022; 特首政策組正式成立
25-12-2022; 「通關事務協調組」召開首次會議
24-12-2022; 行政長官會見傳媒談話全文
23-12-2022; 行政長官向國家領導人述職
20-12-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
20-12-2022; 行政長官前往北京述職
19-12-2022; 特區政府熱烈歡迎擴大滬深港通合資格股票範圍
19-12-2022; 行政長官確定二○二二年立法會選舉委員會界別補選當選議員宣誓有效
18-12-2022; 行政長官祝賀立法會選舉委員會界別補選當選議員
15-12-2022; 國際創新及科技高峰會圓滿結束
14-12-2022; 「融入國家發展大局督導組」和「北部都會區督導委員會」舉行首次會議
13-12-2022; 行政長官為「建造創新博覽會2022」揭幕
13-12-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
12-12-2022; 三十二個決策局／部門獲公務員優質服務獎
11-12-2022; 行政長官會見傳媒談話全文
06-12-2022; 香港特別行政區各界為悼念前國家主席江澤民默哀
04-12-2022; 特區政府今日舉辦二○二二年「國家憲法日」座談會
02-12-2022; 行政長官檢閱入境事務處學員結業會操
01-12-2022; 行政長官、特區政府主要官員及行政會議非官守議員弔唁已故前國家主席江澤民
30-11-2022; 行政長官悼念前國家主席江澤民逝世
30-11-2022; 行政長官與世界知識產權組織總幹事會面
29-11-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
28-11-2022; 行政長官已向中央人民政府就《香港國安法》第十一條要求提交報告
28-11-2022; 行政長官就《香港國安法》向中央人民政府提交報告並建議提請全國人大常委會根據《香港國安法》作出解釋會見傳媒答問內容
28-11-2022; 行政長官就《香港國安法》向中央人民政府提交報告並建議提請全國人大常委會根據《香港國安法》作出解釋的聲明
21-11-2022; 行政長官辦公室回應傳媒查詢
21-11-2022; 香港海運週2022
21-11-2022; 行政長官2019冠狀病毒病核酸檢測呈陽性
20-11-2022; 行政長官率商貿代表團在泰國說好香港故事
20-11-2022; 行政長官在泰國曼谷會見傳媒談話全文
19-11-2022; 行政長官與亞太經合組織領導人討論可持續貿易和投資
19-11-2022; 行政長官在泰國曼谷會見傳媒談話全文
18-11-2022; 行政長官在泰國出席亞太區經濟合作組織會議
18-11-2022; 行政長官感謝立法會通過《施政報告》致謝議案
17-11-2022; 行政長官展開泰國曼谷訪問行程
17-11-2022; 行政長官會見傳媒談話全文
17-11-2022; 行政長官會見傳媒談話全文
16-11-2022; 特區政府舉辦中共二十大精神分享會
15-11-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
15-11-2022; 行政長官赴泰國出席亞太區經濟合作組織會議
14-11-2022; 行政長官會見傳媒談話全文
11-11-2022; 香港法律周2022圓滿結束
09-11-2022; 「大灣區青年就業計劃」嘉許禮暨分享會今日舉行
08-11-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
07-11-2022; 香港法律周2022匯聚國際知名專家和本地翹楚
07-11-2022; 行政長官主持第三日二○二二年度勳銜頒授典禮
06-11-2022; 行政長官主持第二日二○二二年度勳銜頒授典禮
05-11-2022; 行政長官主持首日二○二二年度勳銜頒授典禮
04-11-2022; 行政長官頒授卓越教學獎
01-11-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
28-10-2022; 公務員事務局舉辦「中國共產黨第二十次全國代表大會」精神座談會
28-10-2022; 「金庸展」於上海揭幕
28-10-2022; 再度委任《截取通訊及監察條例》下的小組法官
25-10-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
20-10-2022; 《行政長官2022年施政報告》答問會答問內容（三）
20-10-2022; 《行政長官2022年施政報告》答問會答問內容（二）
20-10-2022; 《行政長官2022年施政報告》答問會答問內容（一）
20-10-2022; 《行政長官2022年施政報告》答問會開場發言
19-10-2022; 《行政長官2022年施政報告》記者會答問內容
19-10-2022; 《行政長官2022年施政報告》記者會開場發言
19-10-2022; 行政長官提出構建健康活力、關愛宜居的香港
19-10-2022; 《施政報告》提出四大策略發揮香港創科潛能
19-10-2022; 土地房屋屬《施政報告》重中之重項目
19-10-2022; 《施政報告》：招商引才　強化競爭力
19-10-2022; 行政長官：屬於香港市民的《施政報告》
18-10-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
17-10-2022; 《行政長官2022年施政報告》及有關刊物星期三公開派發
17-10-2022; 行政長官將向立法會發表《施政報告》
13-10-2022; 行政長官辦公室再次呼籲市民提防偽冒行政長官訪談的詐騙廣告
11-10-2022; 行政長官於行政會議前會見傳媒開場發言及答問內容
09-10-2022; 行政長官辦公室一名職員2019冠狀病毒病快速抗原測試呈陽性
06-10-2022; 行政長官與主要官員呼籲市民及早接種季節性流感疫苗和新冠疫苗
02-10-2022; 行政長官歡迎和感謝國家在港選拔載荷專家
29-09-2022; 中華人民共和國成立七十三周年慶祝活動
