Date; Title
30-06-2017; 国家主席会见香港各界人士
30-06-2017; 行政长官委任海滨事务委员会成员
30-06-2017; 国家主席检阅解放军驻港部队及参观少年警讯活动中心
30-06-2017; 政府公布海洋公园公司董事局成员任命
30-06-2017; 香港与拉脱维亚、白俄罗斯及巴基斯坦有关避免双重课税协定的命令刊宪
30-06-2017; 二○一七年授勋名单
30-06-2017; 太平绅士委任
29-06-2017; 国家主席出席礼宾府晚宴
29-06-2017; 国家主席视察西九文化区
29-06-2017; 国家主席会见行政长官
29-06-2017; 国家主席抵港访问三天
28-06-2017; 《内地与香港关于建立更紧密经贸关系的安排》框架下签署《投资协议》及《经济技术合作协议》
28-06-2017; 行政长官与瑞典欧盟和贸易大臣会面
27-06-2017; 行政长官于行政会议前会见传媒谈话全文
27-06-2017; 行政长官发表《第四届政府施政汇报2012-2017》
26-06-2017; 陈帆担任房屋委员会主席
26-06-2017; 「香港回归祖国二十周年－－同心创前路　掌握新机遇」成就展在京揭幕
25-06-2017; 行政长官欢迎和感谢国家主席莅临香港
25-06-2017; 行政长官在香港国际机场会见传媒谈话全文
24-06-2017; 全港禁毒运动今启动
23-06-2017; 行政长官和政务司司长会见传媒谈话全文（二）
23-06-2017; 行政长官和政务司司长会见传媒谈话全文（一）
23-06-2017; 逐步取消「对冲」 政府建议最为可取
23-06-2017; 市区重建局执行董事获再度委任
23-06-2017; 行政长官颁授卓越教学奖予教师
21-06-2017; 粤港学校联手大汇演庆祝香港特区成立二十周年
21-06-2017; ​行政长官祝贺新一届政府主要官员
20-06-2017; 署理行政长官于行政会议前会见传媒谈话全文
20-06-2017; 行政长官赴京主持「香港回归祖国二十周年—同心创前路　掌握新机遇」成就展开幕式
16-06-2017; 终审法院非常任法官任期延续
16-06-2017; 行政长官休假
16-06-2017; 「职业专才教育国际研讨会」及「香港青年技能大赛暨嘉年华2017」今明两日举行
15-06-2017; 行政长官会见传媒谈话全文
15-06-2017; 行政长官欢迎「乐龄科技博览暨高峰会」参与人士
15-06-2017; 以非原址换地方式长远保育沙罗洞
15-06-2017; 行政长官在深圳出席「寻根追梦．同心同行」青年论坛分享环节发言全文
14-06-2017; 行政长官主持粤港澳大湾区发展谘询会
14-06-2017; 再度委任选举管理委员会主席
13-06-2017; 行政长官前赴深圳
13-06-2017; 行政长官于行政会议前会见传媒谈话全文
09-06-2017; 政府委任前任行政长官及政治委任官员离职后工作谘询委员会成员
09-06-2017; 委任司法人员推荐委员会委员
07-06-2017; 行政长官与江西省省长会面
06-06-2017; 行政长官于行政会议前会见传媒谈话全文
05-06-2017; 行政长官与佛山市委书记会面
01-06-2017; 行政长官答问会答问全文（三）
01-06-2017; 行政长官答问会答问全文（二）
01-06-2017; 行政长官答问会答问全文（一）
01-06-2017; 行政长官答问会开场发言
29-05-2017; 委任法律改革委员会新成员
26-05-2017; 行政长官于香港国际机场会见传媒谈话全文
26-05-2017; 政府委任保险事务上诉审裁处成员
26-05-2017; 政府委任香港机场管理局成员
24-05-2017; 行政长官赴京出席基本法座谈会
24-05-2017; 行政长官离港出席政协活动
24-05-2017; 行政长官会同行政会议批准豁免金钟兴建一条行人天桥而修订契约的土地补价
23-05-2017; 饶宗颐书画展明日开始　展现敦煌韵致
23-05-2017; 行政长官于行政会议前会见传媒谈话全文
20-05-2017; 行政长官会见传媒谈话全文
19-05-2017; 行政长官与新西兰总理会面
19-05-2017; 行政长官与澳洲新南威尔斯州总督会面
18-05-2017; 委任平等机会委员会委员
18-05-2017; 行政长官于香港国际机场会见传媒谈话全文
17-05-2017; 行政长官于香港国际机场会见传媒谈话全文
17-05-2017; 行政长官与巴基斯坦总理会面
16-05-2017; 行政长官前赴北京送别前国务院副总理钱其琛
16-05-2017; 行政长官于行政会议前会见传媒谈话全文
15-05-2017; 行政长官在北京会见传媒谈话全文（二）
15-05-2017; 行政长官在北京会见传媒谈话全文（一）
14-05-2017; 警方致力确保巴基斯坦伊斯兰共和国总理安全
13-05-2017; 行政长官会见传媒谈话全文
12-05-2017; 巴基斯坦伊斯兰共和国总理访港
11-05-2017; 行政长官与中山市委书记会面
11-05-2017; 新西兰总理访港
10-05-2017; 行政长官率代表团出席「一带一路」国际合作高峰论坛
09-05-2017; 行政长官于行政会议前会见传媒谈话全文
08-05-2017; 香港特区代表团参与「一带一路」国际合作高峰论坛
05-05-2017; 政府委任保险业监管局高层人员
04-05-2017; 「香港环境卓越大奖」及「香港绿色机构认证」嘉许企业机构环保贡献
03-05-2017; 行政长官前赴深圳
02-05-2017; 行政长官于行政会议前会见传媒谈话全文
01-05-2017; 香港与印尼签订文化合作谅解备忘录
01-05-2017; 行政长官与印尼总统会面
27-04-2017; 行政长官与泰国副总理会面
27-04-2017; 印度尼西亚共和国总统访港
26-04-2017; 行政长官与湖南省省长会面
25-04-2017; 行会批准终止无线网络电视收费电视牌照
25-04-2017; 行政长官于行政会议前会见传媒谈话全文
23-04-2017; 第六届全港运动会今日开幕
21-04-2017; 行政长官在珠海会见传媒总结粤港澳大湾区考察谈话全文
21-04-2017; 政府委任证监会行政总裁
21-04-2017; 行政长官出席粤港澳大湾区城市群发展规划交流会开场发言全文
18-04-2017; 行政长官与新加坡副总理兼国家安全统筹部长会面
13-04-2017; 短期署任安排
12-04-2017; 行政长官与亚投行行长会面
12-04-2017; 行政长官与世卫总干事会面
11-04-2017; 行政长官会见传媒谈话全文（二）
11-04-2017; 行政长官会见传媒谈话全文（一）
11-04-2017; 行会批准天星小轮调整收费
11-04-2017; 行政长官于行政会议前会见传媒谈话全文
07-04-2017; 行政长官率团考察粤港澳大湾区城市群
05-04-2017; 行政长官办公室回应传媒查询
31-03-2017; 委任二○一七／一八年度房屋委员会委员
31-03-2017; 政府委任通讯事务管理局成员
31-03-2017; 委任香港电影发展局新一届委员
29-03-2017; 行政长官休假
29-03-2017; 前中环街市用地批予市建局进行保育和活化
28-03-2017; 政府公布停止香港数码声音广播服务
28-03-2017; 九龙巴士（一九三三）有限公司获批予新专营权
28-03-2017; 行政长官于行政会议前会见传媒谈话全文
27-03-2017; 行政长官与候任行政长官会面后会见传媒发言全文
26-03-2017; 行政长官就第五届行政长官选举结果发表声明
25-03-2017; 行政长官博鳌会见传媒谈话全文
24-03-2017; 行政长官前往海南前在香港国际机场会见传媒谈话全文
24-03-2017; 政府委任食物及环境卫生谘询委员会成员
24-03-2017; 将军澳海水化淡厂海底进水和排水设施建造工程获批准进行
22-03-2017; 行政长官对消防总队目殉职表示哀悼
22-03-2017; 行政长官出席博鳌亚洲论坛年会
22-03-2017; 行政长官与广州市市长会面
21-03-2017; 行政长官于行政会议前会见传媒谈话全文
15-03-2017; 政府委任首长级薪俸及服务条件常务委员会成员
14-03-2017; 委任司法人员
14-03-2017; 再度委任公务员敍用委员会主席
14-03-2017; 署理行政长官于行政会议前会见传媒谈话全文
13-03-2017; 行政长官北京会见传媒谈话全文
13-03-2017; 行政会议非官守议员祝贺行政长官当选全国政协副主席
12-03-2017; 行政长官于香港国际机场会见传媒谈话全文
10-03-2017; 政府委任香港特别行政区行政会议成员、立法会议员及政治委任制度官员薪津独立委员会成员
10-03-2017; 政府公布强制性公积金计划管理局任命
09-03-2017; 行政长官赴京
08-03-2017; 妇女事务委员会庆祝国际妇女节
08-03-2017; 行政长官会见港铁车厢纵火案救援人员
07-03-2017; 行政长官回应传媒查询
05-03-2017; 行政长官北京会见传媒谈话全文
03-03-2017; 政府委任香港电台顾问委员会成员
02-03-2017; 行政长官于香港国际机场会见传媒谈话全文
01-03-2017; 政府公布最低工资委员会成员任命
28-02-2017; 行政长官赴京
28-02-2017; 「金庸馆」今日揭幕　展示金庸小说创作历程与贡献
28-02-2017; 行政长官于行政会议前会见传媒谈话全文
27-02-2017; 委任法律改革委员会成员
26-02-2017; 香港礼宾府三月五日开放日
24-02-2017; 东涌东北面填海工程获准进行
23-02-2017; 行政长官访问深圳和广州
22-02-2017; 行政长官声明
22-02-2017; 行政长官就二零一七／一八年度《财政预算案》发表声明
21-02-2017; 行政长官前赴深圳及广州
17-02-2017; 政府公布再任命贸发局主席
14-02-2017; 行政长官于行政会议前会见传媒谈话全文
13-02-2017; 政府主要官员任命公布
10-02-2017; 行政长官赞扬港队亚锦赛获得佳绩
10-02-2017; 行政长官回应港铁车厢火警事故
09-02-2017; 行政长官恭贺李慧诗再夺亚锦赛金牌
07-02-2017; 行政长官恭贺李慧诗夺亚锦赛金牌
07-02-2017; 行政长官恭贺梁峻荣勇夺亚锦赛首面金牌
07-02-2017; 行会批准的士调整收费
07-02-2017; 行政长官于行政会议前会见传媒谈话全文
27-01-2017; 行政长官休假
27-01-2017; 标准工时委员会向行政长官呈交报告
27-01-2017; 标准工时委员会向行政长官提交报告
27-01-2017; 行政长官发表农历新年贺辞
26-01-2017; 行政长官和夫人向市民拜年
26-01-2017; 委任法律改革委员会成员
24-01-2017; 行政长官于行政会议前会见传媒谈话全文
23-01-2017; 行政长官对李君夏逝世表示哀悼
23-01-2017; 行政长官出席青协「施政online@M21」开场发言
19-01-2017; 行政长官《施政报告》答问会答问全文
19-01-2017; 行政长官《施政报告》答问会开场发言
18-01-2017; 行政长官出席《施政报告》电视论坛开场发言
18-01-2017; 行政长官《施政报告》记者会答问全文（四）
18-01-2017; 行政长官《施政报告》记者会答问全文（三）
18-01-2017; 行政长官《施政报告》记者会答问全文（二）
18-01-2017; 行政长官《施政报告》记者会答问全文（一）
18-01-2017; 行政长官会同行政会议接纳法定最低工资水平建议
18-01-2017; 资深司法人员任命：终审法院其他普通法适用地区非常任法官任命
18-01-2017; 二零一七年《施政报告》推动教育和体育发展
18-01-2017; 行政长官在二零一七年《施政报告》宣布加强退休保障制度
18-01-2017; 行政长官在二零一七年《施政报告》宣布增加房屋及土地供应的全面政策措施
18-01-2017; 行政长官在二零一七年《施政报告》宣布发展经济、改善民生的政策措施
17-01-2017; 行政长官于行政会议前会见传媒谈话全文
16-01-2017; 《施政报告》及有关刊物星期三公开派发
16-01-2017; 香港与白俄罗斯签订税务协定
16-01-2017; 行政长官将向立法会发表《施政报告》
16-01-2017; 行政长官与白俄罗斯第一副总理会面
16-01-2017; 政府委任经济发展委员会委员及工作小组成员
16-01-2017; 政府主要官员任命公布
13-01-2017; 白俄罗斯共和国第一副总理访港
13-01-2017; 政府委任古物谘询委员会主席及委员
13-01-2017; 政府委任存款保障上诉审裁处成员
13-01-2017; 海洋公园公司董事局成员任命
12-01-2017; 政府公布金融发展局及辖下五个小组任命
12-01-2017; 行政长官收到政务司司长的请辞
10-01-2017; 行政长官于行政会议前会见传媒谈话全文
06-01-2017; 行政长官与金融发展局成员会面
03-01-2017; 港深两地签署推进落马洲河套地区共同发展合作备忘录
03-01-2017; 行政长官哀悼费明仪逝世
30-12-2016; 政府委任新一届禁毒常务委员会主席及委员
23-12-2016; 西九文化区与故宫博物院合作兴建香港故宫文化博物馆
23-12-2016; 行政长官在北京会见传媒谈话全文
23-12-2016; 委任授勋及非官守太平绅士遴选委员会
23-12-2016; 政府再度委任香港旅游发展局成员
23-12-2016; 独立监察警方处理投诉委员会成员任命公布
23-12-2016; 政府委任廉政公署相关委员会非官方成员
23-12-2016; 委任香港演艺学院校董会
21-12-2016; 政府委任公务员薪俸及服务条件常务委员会和纪律人员薪俸及服务条件常务委员会成员
21-12-2016; ​政府将逐步淘汰本地象牙贸易
20-12-2016; 行政长官于香港国际机场会见传媒谈话全文
20-12-2016; 行政长官于行政会议前会见传媒谈话全文
19-12-2016; 市区重建局执行董事获再度委任
17-12-2016; 行政长官前往北京述职
16-12-2016; 行政长官与中国科学院院长会面
15-12-2016; 行政长官与亚投行行长会面
15-12-2016; 政府委任司法人员薪俸及服务条件常务委员会主席及委员
15-12-2016; 行政长官接纳叶刘淑仪辞去行政会议职务
14-12-2016; 委任赈灾基金谘询委员会委员
14-12-2016; 政府呼吁市民及早接种季节性流感疫苗
13-12-2016; 香港工商业奖表扬七十间杰出企业
13-12-2016; 政府举行官方仪式纪念南京大屠杀
13-12-2016; 行政长官于行政会议前会见传媒谈话全文
12-12-2016; 行政长官收到财政司司长的请辞
09-12-2016; 行政长官会见传媒谈话全文
09-12-2016; 政府委任教大校董会主席
08-12-2016; 行政长官前赴深圳
06-12-2016; ​行政长官回应传媒查询有关梁国雄言论
06-12-2016; 行政长官于行政会议前会见传媒谈话全文
02-12-2016; 行政长官恭贺哇集拉隆功就任泰国国王
30-11-2016; 政府委任市区重建局非执行董事
30-11-2016; 行政长官会见传媒谈话全文
