Date; Title
30-06-2017; 國家主席會見香港各界人士
30-06-2017; 行政長官委任海濱事務委員會成員
30-06-2017; 國家主席檢閱解放軍駐港部隊及參觀少年警訊活動中心
30-06-2017; 政府公布海洋公園公司董事局成員任命
30-06-2017; 香港與拉脫維亞、白俄羅斯及巴基斯坦有關避免雙重課稅協定的命令刊憲
30-06-2017; 二○一七年授勳名單
30-06-2017; 太平紳士委任
29-06-2017; 國家主席出席禮賓府晚宴
29-06-2017; 國家主席視察西九文化區
29-06-2017; 國家主席會見行政長官
29-06-2017; 國家主席抵港訪問三天
28-06-2017; 《內地與香港關於建立更緊密經貿關係的安排》框架下簽署《投資協議》及《經濟技術合作協議》
28-06-2017; 行政長官與瑞典歐盟和貿易大臣會面
27-06-2017; 行政長官於行政會議前會見傳媒談話全文
27-06-2017; 行政長官發表《第四屆政府施政匯報2012-2017》
26-06-2017; 陳帆擔任房屋委員會主席
26-06-2017; 「香港回歸祖國二十周年－－同心創前路　掌握新機遇」成就展在京揭幕
25-06-2017; 行政長官歡迎和感謝國家主席蒞臨香港
25-06-2017; 行政長官在香港國際機場會見傳媒談話全文
24-06-2017; 全港禁毒運動今啟動
23-06-2017; 行政長官和政務司司長會見傳媒談話全文（二）
23-06-2017; 行政長官和政務司司長會見傳媒談話全文（一）
23-06-2017; 逐步取消「對沖」 政府建議最為可取
23-06-2017; 市區重建局執行董事獲再度委任
23-06-2017; 行政長官頒授卓越教學獎予教師
21-06-2017; 粵港學校聯手大匯演慶祝香港特區成立二十周年
21-06-2017; ​行政長官祝賀新一屆政府主要官員
20-06-2017; 署理行政長官於行政會議前會見傳媒談話全文
20-06-2017; 行政長官赴京主持「香港回歸祖國二十周年—同心創前路　掌握新機遇」成就展開幕式
16-06-2017; 終審法院非常任法官任期延續
16-06-2017; 行政長官休假
16-06-2017; 「職業專才教育國際研討會」及「香港青年技能大賽暨嘉年華2017」今明兩日舉行
15-06-2017; 行政長官會見傳媒談話全文
15-06-2017; 行政長官歡迎「樂齡科技博覽暨高峰會」參與人士
15-06-2017; 以非原址換地方式長遠保育沙羅洞
15-06-2017; 行政長官在深圳出席「尋根追夢．同心同行」青年論壇分享環節發言全文
14-06-2017; 行政長官主持粵港澳大灣區發展諮詢會
14-06-2017; 再度委任選舉管理委員會主席
13-06-2017; 行政長官前赴深圳
13-06-2017; 行政長官於行政會議前會見傳媒談話全文
09-06-2017; 政府委任前任行政長官及政治委任官員離職後工作諮詢委員會成員
09-06-2017; 委任司法人員推薦委員會委員
07-06-2017; 行政長官與江西省省長會面
06-06-2017; 行政長官於行政會議前會見傳媒談話全文
05-06-2017; 行政長官與佛山市委書記會面
01-06-2017; 行政長官答問會答問全文（三）
01-06-2017; 行政長官答問會答問全文（二）
01-06-2017; 行政長官答問會答問全文（一）
01-06-2017; 行政長官答問會開場發言
29-05-2017; 委任法律改革委員會新成員
26-05-2017; 行政長官於香港國際機場會見傳媒談話全文
26-05-2017; 政府委任保險事務上訴審裁處成員
26-05-2017; 政府委任香港機場管理局成員
24-05-2017; 行政長官赴京出席基本法座談會
24-05-2017; 行政長官離港出席政協活動
24-05-2017; 行政長官會同行政會議批准豁免金鐘興建一條行人天橋而修訂契約的土地補價
23-05-2017; 饒宗頤書畫展明日開始　展現敦煌韻致
23-05-2017; 行政長官於行政會議前會見傳媒談話全文
20-05-2017; 行政長官會見傳媒談話全文
19-05-2017; 行政長官與新西蘭總理會面
19-05-2017; 行政長官與澳洲新南威爾斯州總督會面
18-05-2017; 委任平等機會委員會委員
18-05-2017; 行政長官於香港國際機場會見傳媒談話全文
17-05-2017; 行政長官於香港國際機場會見傳媒談話全文
17-05-2017; 行政長官與巴基斯坦總理會面
16-05-2017; 行政長官前赴北京送別前國務院副總理錢其琛
16-05-2017; 行政長官於行政會議前會見傳媒談話全文
15-05-2017; 行政長官在北京會見傳媒談話全文（二）
15-05-2017; 行政長官在北京會見傳媒談話全文（一）
14-05-2017; 警方致力確保巴基斯坦伊斯蘭共和國總理安全
13-05-2017; 行政長官會見傳媒談話全文
12-05-2017; 巴基斯坦伊斯蘭共和國總理訪港
11-05-2017; 行政長官與中山市委書記會面
11-05-2017; 新西蘭總理訪港
10-05-2017; 行政長官率代表團出席「一帶一路」國際合作高峰論壇
09-05-2017; 行政長官於行政會議前會見傳媒談話全文
08-05-2017; 香港特區代表團參與「一帶一路」國際合作高峰論壇
05-05-2017; 政府委任保險業監管局高層人員
04-05-2017; 「香港環境卓越大獎」及「香港綠色機構認證」嘉許企業機構環保貢獻
03-05-2017; 行政長官前赴深圳
02-05-2017; 行政長官於行政會議前會見傳媒談話全文
01-05-2017; 香港與印尼簽訂文化合作諒解備忘錄
01-05-2017; 行政長官與印尼總統會面
27-04-2017; 行政長官與泰國副總理會面
27-04-2017; 印度尼西亞共和國總統訪港
26-04-2017; 行政長官與湖南省省長會面
25-04-2017; 行會批准終止無綫網絡電視收費電視牌照
25-04-2017; 行政長官於行政會議前會見傳媒談話全文
23-04-2017; 第六屆全港運動會今日開幕
21-04-2017; 行政長官在珠海會見傳媒總結粵港澳大灣區考察談話全文
21-04-2017; 政府委任證監會行政總裁
21-04-2017; 行政長官出席粵港澳大灣區城市群發展規劃交流會開場發言全文
18-04-2017; 行政長官與新加坡副總理兼國家安全統籌部長會面
13-04-2017; 短期署任安排
12-04-2017; 行政長官與亞投行行長會面
12-04-2017; 行政長官與世衞總幹事會面
11-04-2017; 行政長官會見傳媒談話全文（二）
11-04-2017; 行政長官會見傳媒談話全文（一）
11-04-2017; 行會批准天星小輪調整收費
11-04-2017; 行政長官於行政會議前會見傳媒談話全文
07-04-2017; 行政長官率團考察粵港澳大灣區城市群
05-04-2017; 行政長官辦公室回應傳媒查詢
31-03-2017; 委任二○一七／一八年度房屋委員會委員
31-03-2017; 政府委任通訊事務管理局成員
31-03-2017; 委任香港電影發展局新一屆委員
29-03-2017; 行政長官休假
29-03-2017; 前中環街市用地批予市建局進行保育和活化
