Date; Title
30-07-1999; 署理行政長官談話全文
23-07-1999; 行政長官董建華在聖荷西午餐會後會見記者的談話全文
23-07-1999; 行政長官獲悉硅谷發展資訊科技成功因素
23-07-1999; 行政長官在硅谷勾劃香港發展高科技的藍圖
22-07-1999; 行政長官在三藩市與資訊科技界領袖交流意見
22-07-1999; 行政長官不時與政黨會面
21-07-1999; 未有安排與環球片場會面
16-07-1999; 行政長官談話全文
16-07-1999; 行政長官休假
16-07-1999; 延期完成對稅務局局長的審核報告
08-07-1999; 行政長官訪問美國
05-07-1999; 創新科技委員會向行政長官呈交最後報告
01-07-1999; 國家副主席結束三天訪問
28-02-2001; 行政長官與教育學院學生會面之談話全文（只有中文）
28-02-2001; 行政長官訪問香港教育學院
24-02-2001; 行政長官參觀駐港部隊軍營
22-02-2001; 行政長官預期香港經濟續創佳績
16-02-2001; 行政長官與加拿大總理會面
15-02-2001; 行政長官記者會發言全文
13-02-2001; 行政長官會見台北市長
08-02-2001; 行政長官關於法輪功的談話
08-02-2001; 行政長官立法會答問大會發言全文
27-10-2003; 滬港經貿合作會議記者會談話全文
27-10-2003; 滬港經貿合作會議：第一次會議
26-10-2003; 行政長官參加博鰲亞洲論壇二零零三年年會
24-10-2003; 行政長官會見民主黨和自由黨議員
24-10-2003; 行政長官辦公室發表聲明
24-10-2003; 行政長官宣布宇航員楊利偉訪港
23-10-2003; 行政長官辦公室發表聲明
22-10-2003; 行政長官對亞太經合組織推動全球貿易談判成效感到鼓舞
21-10-2003; 行政長官談話全文
21-10-2003; 行政長官主持亞太經合組織討論如何促進區內營商信心
19-10-2003; 行政長官認為亞太經合會議有效加強經濟聯繫
18-10-2003; 行政長官抵達曼谷出席亞太經合組織領袖會議
16-10-2003; 行政長官出席曼谷亞太經濟合作組織經濟領袖會議
16-10-2003; 行政長官立法會答問大會發言全文
16-10-2003; 行政長官致函中央領導祝賀國家載人航天飛船成功發射和順利返回
15-10-2003; 行政長官祝賀「神舟五號」飛船成功發射
11-10-2003; 行政長官主持授勳典禮
02-10-2003; 行政長官談話全文
01-10-2003; 行政長官辦公室發表聲明
30-12-2003; 行政長官欣賞燈飾後發言全文
27-12-2003; 行政長官慰問伊朗地震災民
24-12-2003; 行政長官探訪灣仔警察總部後與新聞界的談話全文
18-12-2003; 行政長官視察診所後發言全文
15-12-2003; 行政長官辦公室就行政會議組成發表聲明
15-12-2003; 行政長官辦公室就前財政司司長買車事件發表聲明
12-12-2003; 行政長官委任「維港巨星匯」獨立調查小組成員
12-12-2003; 政府發言人回應新聞界查詢
05-12-2003; 行政長官談話全文
05-12-2003; 屯門公路交通事故獨立專家小組向行政長官提交報告
03-12-2003; 行政長官北京發言全文
02-12-2003; 行政長官北京談話全文
25-04-2001; 行政長官發表聲明
23-04-2001; 行政長官歡迎新任外交部駐香港特區特派員
18-04-2001; 行政長官董建華訪問中西區後與記者會面發言全文
18-04-2001; 行政長官稱優質居住環境是政府首要任務
17-04-2001; 香港和新西蘭致力促進緊密經貿合作關係
12-04-2001; 政府委任教育統籌委員會新主席
12-04-2001; 新西蘭總理訪港
04-04-2001; 行政長官參觀北角警署
04-04-2001; 行政長官休假
28-02-2003; 行政長官三月初列席人大會議
21-02-2003; 行政長官談公務員薪酬
19-02-2003; 行政長官慰問韓國火災遇難者家屬
02-02-2003; 行政長官就穿梭機意外發表聲明
27-02-2004; 行政長官下周五列席人大會議
25-02-2004; 行政長官巡視黃大仙體察民情
20-02-2004; 行政長官會見新聞界談政制發展
11-02-2004; 行政長官辦公室聲明
02-02-2004; 攜手共建更好及更清潔的居所
30-04-2004; 行政長官歡迎解放軍海軍艦艇編隊
26-04-2004; 行政長官談人大常委會政制發展決定
24-04-2004; 行政長官博鰲會見傳媒談話全文
21-04-2004; 行政長官嘉許七位政府飛行服務隊隊員
20-04-2004; 行政長官參加博鰲亞洲論壇年會
19-04-2004; 政制發展報告納入人大常委會議程
16-04-2004; 行政長官會見立法會議員後的談話全文
15-04-2004; 行政長官向全國人大常委會提交政制發展報告
15-04-2004; 行政長官報告及政制發展專責小組第二號報告
08-04-2004; 行政長官與喬曉陽會面談話內容
06-04-2004; 行政長官談人大釋法答問全文
06-04-2004; 行政長官談人大釋法
30-01-2003; 行政長官和夫人向市民拜年
28-01-2003; 行政長官談《基本法》第23條立法指引
17-01-2003; 署理行政長官曾蔭權在立法會辯論《施政報告》後回應傳媒提問時的談話全文              (一月十七日)
17-01-2003; 署理行政長官表示政府會與市民攜手復蘇經濟              (一月十七日)
16-01-2003; 行政長官董建華休假
15-01-2003; 行政長官董建華參觀「香港國際時尚薈萃」展覽會後會見傳媒的談話全文
12-01-2003; 行政長官董建華出席在竹篙灣舉行的香港迪士尼樂園動土典禮後會見傳媒的談話全文
11-01-2003; 行政長官發表香港家書
09-01-2003; 行政長官董建華出席立法會答問大會的談話全文
08-01-2003; 行政長官董建華發表施政報告後在政府總部新翼會議室舉行的記者會談話全文
08-01-2003; 施政報告以振興經濟為首務
06-01-2003; 行政長官將向立法會發表施政報告
01-01-2003; 行政長官說政府推動本土經濟發展初見成效
01-01-2003; 行政長官董建華參觀上環兩個本土經濟項目後會見傳媒的談話全文
23-05-2001; 行政長官呼籲加强衞生對抗禽流感
23-05-2001; 行政長官訪問南區後發言全文
23-05-2001; 行政長官談話全文（只有中文）
22-05-2001; 行政長官希望受傷警員早日康復
19-05-2001; 行政長官談話全文
19-05-2001; 行政長官參觀入境處總部
16-05-2001; 香港中央圖書館踏上新里程
15-05-2001; 行政長官西部訪問團簡報會談話全文
12-05-2001; 行政長官發表聲明
10-05-2001; 行政長官會見內地西部省市官員
10-05-2001; 香港向國際推廣嶄新品牌形象
09-05-2001; 行政長官與泰國總理會面
09-05-2001; 行政長官會見《財富》全球論壇參加者
07-05-2001; 行政長官與出席《財富》論壇各地訪客會面
02-05-2001; 新領導層首重經濟事務
02-05-2001; 行政長官談話全文
28-11-2003; 行政長官重申政府致力推動教育
27-11-2003; 行政長官下周前往北京述職
24-11-2003; 行政長官在黃泥涌點票站發言全文
23-11-2003; 行政長官區議會選舉日投票後談話全文
21-11-2003; 行政長官會見新聞界談專業資格
18-11-2003; 行政長官談香港銀行提供個人人民幣服務
17-11-2003; 行政長官談話全文
13-11-2003; 行政長官談話全文
13-11-2003; 行政長官會見法國總統希拉克
12-11-2003; 行政長官倫敦談話全文
12-11-2003; 行政長官在倫敦推介香港的樞紐地位
12-11-2003; 行政長官會見英國首相貝理雅
11-11-2003; 行政長官向英商簡介香港發展
06-11-2003; 行政長官接受平機會主席請辭
06-11-2003; 行政長官與國際顧問討論經濟事務
05-11-2003; 行政長官訪問倫敦和巴黎
02-11-2003; 行政長官博鰲會見傳媒談話全文
01-11-2003; 行政長官會見廣東省省長
29-06-2001; 行政長官說香港賴以成功基本特質受保護
27-06-2001; 行政長官談話全文
27-06-2001; 中小型企業委員會向行政長官提交報告
27-06-2001; 行政長官接獲中小企委員會報告
26-06-2001; 香港的競爭優勢獲確認
20-06-2001; 行政長官談話全文
12-06-2001; 行政長官會見立法會議員
11-06-2001; 行政長官關注暴雨應變措施
08-06-2001; 行政長官會見立法會議員
26-09-1998; 政長官會見法國總理
25-09-1998; 行政長官主持授勳典禮
21-09-1998; 行政長官呼籲各界攜手共度時艱
18-09-1998; 行政長官強調堅決維護自由市場
16-09-1998; 行政長官：開源節流共度時艱
15-09-1998; 行政長官呼籲社會團結克服挑戰
15-09-1998; 行政長官聆聽議員助民解困建議
14-09-1998; 政府會加強與立法會溝通
14-09-1998; 政府致力促進金融市場自由運作
12-09-1998; 行政長官發表談話
09-09-1998; 積極進取　迎接挑戰
08-09-1998; 行政長官會見記者談話內容
31-10-2002; 行政長官對田長霖教授逝世深表哀痛
