Date; Title; URL
29.6.2022; 行政長官在上海市香港商會「港食文化節2022」致辭; https://www.info.gov.hk/gia/general/202206/29/P2022062900669.htm
29.6.2022; 行政長官在天津市香港商會慶祝香港回歸祖國25周年慶祝活動致辭; https://www.info.gov.hk/gia/general/202206/29/P2022062900663.htm
26.6.2022; 行政長官在香港創科展頒獎典禮致辭; https://www.info.gov.hk/gia/general/202206/26/P2022062600342.htm
24.6.2022; 行政長官在「慶香港回歸‧享祖國榮光」川港系列活動啓動儀式致辭; https://www.info.gov.hk/gia/general/202206/24/P2022062400514.htm
24.6.2022; 行政長官在慶祝香港回歸祖國25周年中央廣播電視總台CGTN紀錄頻道和粵港澳大灣區之聲頻率在港落地發布儀式致辭; https://www.info.gov.hk/gia/general/202206/24/P2022062400350.htm
22.6.2022; 行政長官出席香港故宮文化博物館開幕典禮致辭; https://www.info.gov.hk/gia/general/202206/22/P2022062200637.htm
22.6.2022; 行政長官出席「藝術@維港」展覽開幕典禮發言; https://www.info.gov.hk/gia/general/202206/22/P2022062200442.htm
21.6.2022; 行政長官出席鑒往知來──慶祝香港回歸25周年大型主題展致辭; https://www.info.gov.hk/gia/general/202206/21/P2022062100579.htm
21.6.2022; 行政長官出席香港教師生活館暨美觀文化薈開幕典禮致辭; https://www.info.gov.hk/gia/general/202206/21/P2022062100317.htm
20.6.2022; 行政長官出席元朗過渡性房屋項目博愛江夏圍村參觀及住戶探訪活動致辭; https://www.info.gov.hk/gia/general/202206/20/P2022062000593.htm
18.6.2022; 行政長官出席慶祝香港回歸祖國25周年《獅子山下的故事》在港開播儀式致辭; https://www.info.gov.hk/gia/general/202206/18/P2022061800525.htm
18.6.2022; 行政長官出席東華三院環保村動土典禮致辭; https://www.info.gov.hk/gia/general/202206/18/P2022061800352.htm
17.6.2022; 行政長官出席全港同鄉社團慶回歸25周年文藝巡演啓動禮致辭; https://www.info.gov.hk/gia/general/202206/17/P2022061700855.htm
16.6.2022; 行政長官出席慶祝香港回歸祖國二十五周年暨港區省級政協委員聯誼會成立十六周年典禮致辭; https://www.info.gov.hk/gia/general/202206/16/P2022061600768.htm
