Date; Title; URL
22-6-2012; 行政长官出席禁毒活动「打开ＴＥＥＮ窗　爱＠无毒ＳＨＯＷ」致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201206/22/P201206220483.htm
22-6-2012; 行政长官出席饶宗颐文化馆开幕典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201206/22/P201206220430.htm
12-6-2012; 行政长官出席行政长官卓越教学奖颁奖典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201206/12/P201206120273.htm
9-5-2012; 行政长官出席「２０１１香港艺术发展奖」颁奖典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201205/09/P201205090554.htm
30-4-2012; 行政长官出席解放军海军１７１护航编队返航停靠香港欢迎仪式致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201204/30/P201204300228.htm
27-4-2012; 行政长官出席劳动节酒会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201204/27/P201204270353.htm
26-4-2012; 行政长官出席「市建一站通」开幕典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201204/26/P201204260470.htm
26-4-2012; 行政长官出席第三届世界佛教论坛开幕典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201204/26/P201204260229.htm
25-4-2012; 行政长官出席「香港浸会大学中医药学院－雷生春堂」开幕典礼致辞全文; http://www.info.gov.hk/gia/general/201204/25/P201204250338.htm
23-4-2012; 行政长官出席「２０１１年香港最佳新闻奖」颁奖典礼暨午餐会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201204/23/P201204230225.htm
14-3-2012; 行政长官主持海洋公园「香港老大街」开幕仪式致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201203/14/P201203140265.htm
4-3-2012; 行政长官于北京主持招待港区人大代表及政协委员酒会的致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201203/04/P201203040476.htm
27-2-2012; 行政长官出席大澳文物精品酒店开幕典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201202/27/P201202270434.htm
15-2-2012; 行政长官出席驻港领事团晚宴致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201202/15/P201202150387.htm
5-2-2012; 行政长官出席广东省２０１２年新春宴会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201202/05/P201202030224.htm
1-2-2012; 行政长官在礼宾府主持新春酒会的致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201202/01/P201202010506.htm
19-1-2012; 行政长官答问会开场发言; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201201/19/P201201190385.htm
13-1-2012; 行政长官宴请立法会议员发言全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201201/13/P201201130418.htm
5-1-2012; 行政长官出席沪港经贸合作会议致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201201/05/P201201050330.htm
14-12-2011; 行政长官出席中国香港世界地质公园开幕礼致辞; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/14/P201112140189.htm
14-12-2011; 行政长官主持港珠澳大桥香港口岸动工典礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/14/P201112140158.htm
13-12-2011; 行政长官就签署《内地与香港关于建立更紧密经贸关系的安排》补充协议八发言全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/13/P201112130172.htm
9-12-2011; 行政长官出席香港经济峰会２０１２致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/09/P201112090421.htm
6-12-2011; 署理行政长官出席第十二届海峡两岸暨港澳新闻研讨会开幕仪式致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/06/P201112060411.htm
1-12-2011; 行政长官出席第五届「中大新闻奖」颁奖礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201112/01/P201112010306.htm
25-11-2011; 行政长官出席入境事务学院结业暨金禧大会操致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/25/P201111250386.htm
25-11-2011; 行政长官出席社会企业联展开幕典礼暨社会企业奖励计划致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/25/P201111250271.htm
15-11-2011; 署理行政长官出席中国海外投资年会开幕礼致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/15/P201111150255.htm
12-11-2011; 行政长官出席亚太经合组织工商领袖峰会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/12/P201111120100.htm
10-11-2011; 行政长官在华盛顿出席午餐会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/10/P201111100166.htm
9-11-2011; 行政长官在哈佛大学甘乃迪公共行政学院出席论坛致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/09/P201111090084.htm
8-11-2011; 行政长官出席外交关系协会酒会致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201111/08/P201111080184.htm
18-10-2011; 行政长官致辞全文; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201110/18/P201110180253.htm
13-10-2011; 行政长官《施政报告》答问会开场发言; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201110/13/P201110130193.htm
12-10-2011; 行政长官出席《施政报告》电视论坛开场发言; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201110/12/P201110120313.htm
12-10-2011; 《施政报告》全文（十）; http://sc.isd.gov.hk/gb/www.info.gov.hk/gia/general/201110/12/P201110120169.htm
