Date; Title; URL
22-6-2012; 行政長官出席禁毒活動「打開ＴＥＥＮ窗　愛＠無毒ＳＨＯＷ」致辭全文; http://www.info.gov.hk/gia/general/201206/22/P201206220483.htm
22-6-2012; 行政長官出席饒宗頤文化館開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201206/22/P201206220430.htm
12-6-2012; 行政長官出席行政長官卓越教學獎頒獎典禮致辭全文; http://www.info.gov.hk/gia/general/201206/12/P201206120273.htm
9-5-2012; 行政長官出席「２０１１香港藝術發展獎」頒獎典禮致辭全文; http://www.info.gov.hk/gia/general/201205/09/P201205090554.htm
30-4-2012; 行政長官出席解放軍海軍１７１護航編隊返航停靠香港歡迎儀式致辭全文; http://www.info.gov.hk/gia/general/201204/30/P201204300228.htm
27-4-2012; 行政長官出席勞動節酒會致辭全文; http://www.info.gov.hk/gia/general/201204/27/P201204270353.htm
26-4-2012; 行政長官出席「市建一站通」開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201204/26/P201204260470.htm
26-4-2012; 行政長官出席第三屆世界佛教論壇開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201204/26/P201204260229.htm
25-4-2012; 行政長官出席「香港浸會大學中醫藥學院－雷生春堂」開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201204/25/P201204250338.htm
23-4-2012; 行政長官出席「２０１１年香港最佳新聞獎」頒獎典禮暨午餐會致辭全文; http://www.info.gov.hk/gia/general/201204/23/P201204230225.htm
14-3-2012; 行政長官主持海洋公園「香港老大街」開幕儀式致辭全文; http://www.info.gov.hk/gia/general/201203/14/P201203140265.htm
4-3-2012; 行政長官於北京主持招待港區人大代表及政協委員酒會的致辭全文; http://www.info.gov.hk/gia/general/201203/04/P201203040476.htm
27-2-2012; 行政長官出席大澳文物精品酒店開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201202/27/P201202270434.htm
15-2-2012; 行政長官出席駐港領事團晚宴致辭全文; http://www.info.gov.hk/gia/general/201202/15/P201202150387.htm
5-2-2012; 行政長官出席廣東省２０１２年新春宴會致辭全文; http://www.info.gov.hk/gia/general/201202/05/P201202030224.htm
1-2-2012; 行政長官在禮賓府主持新春酒會的致辭全文; http://www.info.gov.hk/gia/general/201202/01/P201202010506.htm
19-1-2012; 行政長官答問會開場發言; http://www.info.gov.hk/gia/general/201201/19/P201201190385.htm
13-1-2012; 行政長官宴請立法會議員發言全文; http://www.info.gov.hk/gia/general/201201/13/P201201130418.htm
5-1-2012; 行政長官出席滬港經貿合作會議致辭全文; http://www.info.gov.hk/gia/general/201201/05/P201201050330.htm
14-12-2011; 行政長官出席中國香港世界地質公園開幕禮致辭; http://www.info.gov.hk/gia/general/201112/14/P201112140189.htm
14-12-2011; 行政長官主持港珠澳大橋香港口岸動工典禮致辭全文; http://www.info.gov.hk/gia/general/201112/14/P201112140158.htm
13-12-2011; 行政長官就簽署《內地與香港關於建立更緊密經貿關係的安排》補充協議八發言全文; http://www.info.gov.hk/gia/general/201112/13/P201112130172.htm
9-12-2011; 行政長官出席香港經濟峰會２０１２致辭全文; http://www.info.gov.hk/gia/general/201112/09/P201112090421.htm
6-12-2011; 署理行政長官出席第十二屆海峽兩岸暨港澳新聞研討會開幕儀式致辭全文; http://www.info.gov.hk/gia/general/201112/06/P201112060411.htm
1-12-2011; 行政長官出席第五屆「中大新聞獎」頒獎禮致辭全文; http://www.info.gov.hk/gia/general/201112/01/P201112010306.htm
25-11-2011; 行政長官出席入境事務學院結業暨金禧大會操致辭全文; http://www.info.gov.hk/gia/general/201111/25/P201111250386.htm
25-11-2011; 行政長官出席社會企業聯展開幕典禮暨社會企業獎勵計劃致辭全文; http://www.info.gov.hk/gia/general/201111/25/P201111250271.htm
15-11-2011; 署理行政長官出席中國海外投資年會開幕禮致辭全文; http://www.info.gov.hk/gia/general/201111/15/P201111150255.htm
12-11-2011; 行政長官出席亞太經合組織工商領袖峰會致辭全文; http://www.info.gov.hk/gia/general/201111/12/P201111120100.htm
10-11-2011; 行政長官在華盛頓出席午餐會致辭全文; http://www.info.gov.hk/gia/general/201111/10/P201111100166.htm
