Date; Title; URL
26-06-2022; 候任行政長官在清華大學高級公共管理碩士畢業禮的視像致辭; https://www.info.gov.hk/gia/general/202206/26/P2022062400620.htm
22-06-2022; 候任行政長官出席第六期「鞏固法治」教師培訓計劃致辭; https://www.info.gov.hk/gia/general/202206/22/P2022062200316.htm
21-06-2022; 候任行政長官在香港教師生活館暨美觀文化薈開幕典禮致辭; https://www.info.gov.hk/gia/general/202206/21/P2022062100306.htm
17-06-2022; 候任行政長官出席全港同鄉社團慶回歸25周年文藝巡演啓動禮致辭; https://www.info.gov.hk/gia/general/202206/17/P2022061700817.htm
14-06-2022; 候任行政長官出席「瑰麗同行」啓動禮致辭全文; https://www.info.gov.hk/gia/general/202206/14/P2022061400389.htm
12-06-2022; 候任行政長官出席慶祝香港回歸祖國25周年----《大公報》創刊120周年慶祝活動致辭全文; https://www.info.gov.hk/gia/general/202206/12/P2022061200422.htm
29-12-2022; 行政長官出席學習貫徹二十大精神香港青年聯會第30屆會慶及會董會就職典禮暨香港青聯交流基金周年會慶致辭; https://www.info.gov.hk/gia/general/202212/29/P2022122900648.htm
22-12-2022; 行政長官在2022粵港澳大灣區服務貿易大會開幕式暨主論壇致辭; https://www.info.gov.hk/gia/general/202212/22/P2022122200333.htm
21-12-2022; 行政長官在2022粵港澳大灣區全球招商大會致辭; https://www.info.gov.hk/gia/general/202212/21/P2022122100385.htm
20-12-2022; 行政長官在第十二屆中國證券金紫荊獎頒獎典禮致辭; https://www.info.gov.hk/gia/general/202212/20/P2022122000357.htm
20-12-2022; 行政長官在上海交通大學「呂志和科學園」捐贈協議簽署儀式致辭; https://www.info.gov.hk/gia/general/202212/20/P2022122000323.htm
18-12-2022; 行政長官在第一屆全港青少年中國文化和旅遊知識競賽頒獎典禮致辭; https://www.info.gov.hk/gia/general/202212/18/P2022121600608.htm
18-12-2022; 行政長官出席新鴻基地產香港單車節致辭; https://www.info.gov.hk/gia/general/202212/18/P2022121800467.htm
15-12-2022; 行政長官出席世界中文報業協會第五十五屆年會致辭; https://www.info.gov.hk/gia/general/202212/15/P2022121500512.htm
15-12-2022; 行政長官在香港北京高校校友聯盟「京港青年科技創新促進計劃」專題活動致辭; https://www.info.gov.hk/gia/general/202212/15/P2022121500251.htm
14-12-2022; 行政長官出席善學晨曦曾學權兒童發展中心命名暨開幕典禮致辭; https://www.info.gov.hk/gia/general/202212/14/P2022121400456.htm
14-12-2022; 行政長官在貫徹落實《南沙方案》系列政策推介會致辭; https://www.info.gov.hk/gia/general/202212/14/P2022121400400.htm
14-12-2022; 行政長官出席第25屆北京‧香港經濟合作研討洽談會開幕式致辭; https://www.info.gov.hk/gia/general/202212/14/P2022121400243.htm
13-12-2022; 行政長官在齊心論壇暨10周年慶典「踐行現代化中國路」致辭; https://www.info.gov.hk/gia/general/202212/13/P2022121300408.htm
12-12-2022; 行政長官在上海總會成立四十五周年暨第二十三屆理監事會就職典禮致辭; https://www.info.gov.hk/gia/general/202212/12/P2022121200436.htm
12-12-2022; 行政長官出席二○二二公務員優質服務獎勵計劃頒獎典禮致辭; https://www.info.gov.hk/gia/general/202212/12/P2022121200564.htm
12-12-2022; 行政長官在團結香港基金「創科博覽2022」開幕典禮致辭; https://www.info.gov.hk/gia/general/202212/12/P2022121200228.htm
10-12-2022; 行政長官在將軍澳--藍田隧道及將軍澳跨灣連接路通車儀式致辭; https://www.info.gov.hk/gia/general/202212/10/P2022121000273.htm
09-12-2022; 行政長官在2022深圳全球招商大會致辭; https://www.info.gov.hk/gia/general/202212/09/P2022120900247.htm
08-12-2022; 行政長官出席香港商報創刊70周年誌慶酒會致辭; https://www.info.gov.hk/gia/general/202212/08/P2022120800589.htm
08-12-2022; 行政長官在《香港01》經濟高峰論壇2022致辭; https://www.info.gov.hk/gia/general/202212/08/P2022120700686.htm
04-12-2022; 行政長官出席二○二二年「國家憲法日」座談會致辭; https://www.info.gov.hk/gia/general/202212/04/P2022120400390.htm
03-12-2022; 行政長官出席中國共產黨第二十次全國代表大會精神宣講會歡迎辭; https://www.info.gov.hk/gia/general/202212/03/P2022120300383.htm
02-12-2022; 行政長官出席入境事務處學員結業會操致辭; https://www.info.gov.hk/gia/general/202212/02/P2022120200578.htm
01-12-2022; 行政長官出席香港中華總商會第53屆會董就職典禮致辭; https://www.info.gov.hk/gia/general/202212/01/P2022120100580.htm
01-12-2022; 行政長官出席香港經濟峰會2023致辭; https://www.info.gov.hk/gia/general/202212/01/P2022120100390.htm
30-11-2022; 行政長官出席「和衷共濟　情暖香江──慶祝香港回歸祖國25周年國家關懷支援香港紀實展覽」開幕典禮致辭; https://www.info.gov.hk/gia/general/202211/30/P2022113000389.htm
17-11-2022; 行政長官在一帶一路總商會成立五週年誌慶暨第二屆理事會就職典禮致辭; https://www.info.gov.hk/gia/general/202211/17/P2022111700447.htm
16-11-2022; 行政長官在「藝文香港ART HK」藝術展覽及國際藝術論壇開幕儀式致辭; https://www.info.gov.hk/gia/general/202211/16/P2022111600485.htm
15-11-2022; 行政長官在2022年西麗湖論壇開幕式致辭; https://www.info.gov.hk/gia/general/202211/15/P2022111500247.htm
