Date; Title; URL
30.6.2017; 行政长官出席特区政府欢迎晚宴致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/30/P2017063000920.htm
28.6.2017; 行政长官出席「创科驱动　成就梦想」科技展开幕典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/28/P2017062800820.htm
26.6.2017; 行政长官在北京出席「香港回归祖国二十周年－－同心创前路　掌握新机遇」成就展开幕式致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/26/P2017062600382.htm
24.6.2017; 行政长官出席「2017同行抗毒　强者本色」活动致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/24/P2017062400750.htm
23.6.2017; 行政长官出席香港各界妇女庆祝香港回归二十周年暨二○一七至一九年度香港各界妇女联合协进会理事就职典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/23/P2017062301021.htm
23.6.2017; 行政长官主持行政长官卓越教学奖（2016/2017）颁奖典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/23/P2017062300688.htm
17.6.2017; 行政长官出席2017香港建筑师学会两岸四地建筑设计论坛致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/17/P2017061700487.htm
16.6.2017; 行政长官出席香港义工联盟、香港义工基金慈善筹款晚宴致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/16/P2017061601071.htm
16.6.2017; 行政长官出席立法会饯别午宴致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/16/P2017061600654.htm
15.6.2017; 行政长官出席香港友好协进会联欢晚会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/15/P2017061500968.htm
15.6.2017; 行政长官出席金融服务界庆祝香港回归二十周年酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/15/P2017061500931.htm
14.6.2017; 行政长官出席庆祝香港回归祖国20周年高峰论坛致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/14/P2017061400458.htm
13.6.2017; 行政长官出席《大公报》创刊115周年庆典酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/13/P2017061301121.htm
7.6.2017; 行政长官出席「一带一路」经验分享会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/07/P2017060700787.htm
2.6.2017; 行政长官出席新界社团联会酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/02/P2017060200778.htm
1.6.2017; 行政长官出席中银香港企业环保领先大奖2016颁奖暨2017开展礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201706/01/P2017060100621.htm
31.5.2017; 行政长官出席香港中资证券业协会十周年庆典酒会暨第六届董事会就职典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/31/P2017053100502.htm
27.5.2017; 署理行政长官出席香港税务学会「全港大专学生税务辩论比赛2017」致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/27/P2017052700476.htm
27.5.2017; 行政长官在北京出席纪念中华人民共和国《香港特别行政区基本法》实施二十周年座谈会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/27/P2017052700260.htm
26.5.2017; 署理行政长官出席2016香港艺术发展奖颁奖礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/26/P2017052600921.htm
25.5.2017; 署理行政长官出席香港旅游业议会答谢晚宴致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/25/P2017052500925.htm
24.5.2017; 行政长官出席庆祝香港回归祖国二十周年展览暨中国书画名家艺术展开幕式致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/24/P2017052400826.htm
23.5.2017; 行政长官出席「敦煌韵致－－饶宗颐教授之敦煌学术艺术展」开幕典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/23/P2017052300834.htm
20.5.2017; 行政长官出席香港青年协会大埔青年宿舍暨青年空间动土典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/20/P2017052000593.htm
14.5.2017; 行政长官出席「一带一路」国际合作高峰论坛「资金融通」主题会议致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/14/P2017051400602.htm
11.5.2017; 行政长官出席第45届日内瓦国际发明展得奖者庆祝酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/11/P2017051100737.htm
4.5.2017; 行政长官出席二○一六香港环境卓越大奖颁奖典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201705/04/P2017050400695.htm
29.4.2017; 行政长官出席「纪念《基本法》颁布二十七周年研讨会」致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/29/P2017042900337.htm
28.4.2017; 行政长官出席劳动节酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/28/P2017042800894.htm
27.4.2017; 行政长官出席镜报「第六届杰出企业社会责任奖」颁奖典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/27/P2017042700663.htm
26.4.2017; 行政长官出席香港货运航空开幕志庆酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/26/P2017042600938.htm
22.4.2017; 行政长官出席《香港回归二十周年》纪念册（套装）首发仪式致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/22/P2017042200347.htm
19.4.2017; 行政长官出席粤港澳大湾区座谈会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201704/19/P2017041900651.htm
8.3.2017; 行政长官出席二○一七年国际妇女节庆祝酒会致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201703/08/P2017030800805.htm
26.2.2017; 行政长官出席香港教育工作者联会第十八届理事会就职典礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201702/26/P2017022600619.htm
25.2.2017; 行政长官出席2017南区旅游文化节开幕礼致辞全文; http://sc.isd.gov.hk/TuniS/www.info.gov.hk/gia/general/201702/25/P2017022500652.htm
