Date; Title; URL
30.6.2017; 行政長官出席特區政府歡迎晚宴致辭全文; http://www.info.gov.hk/gia/general/201706/30/P2017063000920.htm
28.6.2017; 行政長官出席「創科驅動　成就夢想」科技展開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201706/28/P2017062800820.htm
26.6.2017; 行政長官在北京出席「香港回歸祖國二十周年－－同心創前路　掌握新機遇」成就展開幕式致辭全文; http://www.info.gov.hk/gia/general/201706/26/P2017062600382.htm
24.6.2017; 行政長官出席「2017同行抗毒　強者本色」活動致辭全文; http://www.info.gov.hk/gia/general/201706/24/P2017062400750.htm
23.6.2017; 行政長官出席香港各界婦女慶祝香港回歸二十周年暨二○一七至一九年度香港各界婦女聯合協進會理事就職典禮致辭全文; http://www.info.gov.hk/gia/general/201706/23/P2017062301021.htm
23.6.2017; 行政長官主持行政長官卓越教學獎（2016/2017）頒獎典禮致辭全文; http://www.info.gov.hk/gia/general/201706/23/P2017062300688.htm
17.6.2017; 行政長官出席2017香港建築師學會兩岸四地建築設計論壇致辭全文; http://www.info.gov.hk/gia/general/201706/17/P2017061700487.htm
16.6.2017; 行政長官出席香港義工聯盟、香港義工基金慈善籌款晚宴致辭全文; http://www.info.gov.hk/gia/general/201706/16/P2017061601071.htm
16.6.2017; 行政長官出席立法會餞別午宴致辭全文; http://www.info.gov.hk/gia/general/201706/16/P2017061600654.htm
15.6.2017; 行政長官出席香港友好協進會聯歡晚會致辭全文; http://www.info.gov.hk/gia/general/201706/15/P2017061500968.htm
15.6.2017; 行政長官出席金融服務界慶祝香港回歸二十周年酒會致辭全文; http://www.info.gov.hk/gia/general/201706/15/P2017061500931.htm
14.6.2017; 行政長官出席慶祝香港回歸祖國20周年高峰論壇致辭全文; http://www.info.gov.hk/gia/general/201706/14/P2017061400458.htm
13.6.2017; 行政長官出席《大公報》創刊115周年慶典酒會致辭全文; http://www.info.gov.hk/gia/general/201706/13/P2017061301121.htm
7.6.2017; 行政長官出席「一帶一路」經驗分享會致辭全文; http://www.info.gov.hk/gia/general/201706/07/P2017060700787.htm
2.6.2017; 行政長官出席新界社團聯會酒會致辭全文; http://www.info.gov.hk/gia/general/201706/02/P2017060200778.htm
1.6.2017; 行政長官出席中銀香港企業環保領先大獎2016頒獎暨2017開展禮致辭全文; http://www.info.gov.hk/gia/general/201706/01/P2017060100621.htm
31.5.2017; 行政長官出席香港中資證券業協會十周年慶典酒會暨第六屆董事會就職典禮致辭全文; http://www.info.gov.hk/gia/general/201705/31/P2017053100502.htm
27.5.2017; 署理行政長官出席香港稅務學會「全港大專學生稅務辯論比賽2017」致辭全文; http://www.info.gov.hk/gia/general/201705/27/P2017052700476.htm
27.5.2017; 行政長官在北京出席紀念中華人民共和國《香港特別行政區基本法》實施二十周年座談會致辭全文; http://www.info.gov.hk/gia/general/201705/27/P2017052700260.htm
26.5.2017; 署理行政長官出席2016香港藝術發展獎頒獎禮致辭全文; http://www.info.gov.hk/gia/general/201705/26/P2017052600921.htm
25.5.2017; 署理行政長官出席香港旅遊業議會答謝晚宴致辭全文; http://www.info.gov.hk/gia/general/201705/25/P2017052500925.htm
24.5.2017; 行政長官出席慶祝香港回歸祖國二十周年展覽暨中國書畫名家藝術展開幕式致辭全文; http://www.info.gov.hk/gia/general/201705/24/P2017052400826.htm
23.5.2017; 行政長官出席「敦煌韻致－－饒宗頤教授之敦煌學術藝術展」開幕典禮致辭全文; http://www.info.gov.hk/gia/general/201705/23/P2017052300834.htm
20.5.2017; 行政長官出席香港青年協會大埔青年宿舍暨青年空間動土典禮致辭全文; http://www.info.gov.hk/gia/general/201705/20/P2017052000593.htm
14.5.2017; 行政長官出席「一帶一路」國際合作高峰論壇「資金融通」主題會議致辭全文; http://www.info.gov.hk/gia/general/201705/14/P2017051400602.htm
11.5.2017; 行政長官出席第45屆日內瓦國際發明展得獎者慶祝酒會致辭全文; http://www.info.gov.hk/gia/general/201705/11/P2017051100737.htm
4.5.2017; 行政長官出席二○一六香港環境卓越大獎頒獎典禮致辭全文; http://www.info.gov.hk/gia/general/201705/04/P2017050400695.htm
29.4.2017; 行政長官出席「紀念《基本法》頒布二十七周年研討會」致辭全文; http://www.info.gov.hk/gia/general/201704/29/P2017042900337.htm
28.4.2017; 行政長官出席勞動節酒會致辭全文; http://www.info.gov.hk/gia/general/201704/28/P2017042800894.htm
27.4.2017; 行政長官出席鏡報「第六屆傑出企業社會責任獎」頒獎典禮致辭全文; http://www.info.gov.hk/gia/general/201704/27/P2017042700663.htm
26.4.2017; 行政長官出席香港貨運航空開幕誌慶酒會致辭全文; http://www.info.gov.hk/gia/general/201704/26/P2017042600938.htm
22.4.2017; 行政長官出席《香港回歸二十周年》紀念冊（套裝）首發儀式致辭全文; http://www.info.gov.hk/gia/general/201704/22/P2017042200347.htm
19.4.2017; 行政長官出席粵港澳大灣區座談會致辭全文; http://www.info.gov.hk/gia/general/201704/19/P2017041900651.htm
8.3.2017; 行政長官出席二○一七年國際婦女節慶祝酒會致辭全文; http://www.info.gov.hk/gia/general/201703/08/P2017030800805.htm
26.2.2017; 行政長官出席香港教育工作者聯會第十八屆理事會就職典禮致辭全文; http://www.info.gov.hk/gia/general/201702/26/P2017022600619.htm
25.2.2017; 行政長官出席2017南區旅遊文化節開幕禮致辭全文; http://www.info.gov.hk/gia/general/201702/25/P2017022500652.htm
24.2.2017; 行政長官出席「行政長官午餐講座：繼續全面增加土地及房屋供應」致辭全文; http://www.info.gov.hk/gia/general/201702/24/P2017022400637.htm
21.2.2017; 行政長官出席新界總商會就職典禮致辭全文; http://www.info.gov.hk/gia/general/201702/21/P2017022100835.htm
21.2.2017; 行政長官出席婦女事務委員會研討會2017致辭全文; http://www.info.gov.hk/gia/general/201702/21/P2017022100614.htm
20.2.2017; 行政長官出席香港廣東社團總會新春團拜餐會致辭全文; http://www.info.gov.hk/gia/general/201702/20/P2017022000479.htm
