Date;Title;URL
2005-03-04;行政長官董建華在北京為港區人大代表和政協委員舉行的酒會上致辭的全文(三月四日);http://www.info.gov.hk/gia/general/200503/04/03040265.htm
2005-02-15;行政長官董建華在香港禮賓府舉行的新春酒會致辭全文（二月十五日）;http://www.info.gov.hk/gia/general/200502/15/02150212.htm
2005-02-09;署理行政長官曾蔭權在添馬艦廣場主持「2005國泰航空新春國際匯演之夜」啟動儀式的致辭全文（二月九日）;http://www.info.gov.hk/gia/general/200502/09/02090216.htm
2005-02-08;行政長官發表農曆新年賀辭（二月八日）;http://www.info.gov.hk/gia/general/200502/08/0208193.htm
2005-02-02;行政長官董建華出席在香港科技園的飛利浦大厦揭幕儀式的致辭全文（二月二日）;http://www.info.gov.hk/gia/general/200502/02/0202281.htm
2005-01-28;行政長官出席拔萃書院小學部開幕禮致辭全文（一月二十八日）;http://www.info.gov.hk/gia/general/200501/28/0128251.htm
2005-01-25;行政長官「朗豪坊」開幕典禮致辭（一月二十五日）;http://www.info.gov.hk/gia/general/200501/25/0125269.htm
2005-01-22;行政長官董建華在禮賓府設宴款待到訪的加拿大總理保羅．馬丁的晚宴上致辭（一月二十二日）;http://www.info.gov.hk/gia/general/200501/22/0122298.htm
2005-01-21;行政長官董建華在禮賓府款待愛爾蘭總理伯蒂．埃亨的晚宴上致辭全文 (一月二十一日);http://www.info.gov.hk/gia/general/200501/21/0121311.htm
2005-01-17;行政長官董建華在商界午餐會致辭的全文 (一月十七日);http://www.info.gov.hk/gia/general/200501/17/0117234.htm
2005-01-17;行政長官董建華在二○○五「香港˙浙江周」開幕式的致辭全文 (一月十七日);http://www.info.gov.hk/gia/general/200501/17/0117196.htm
2005-01-01;行政長官董建華出席「四海同心送關懷」籌款活動致辭全文 (一月一日);http://www.info.gov.hk/gia/general/200501/01/0101204.htm
2004-12-01;行政長官董建華出席「名牌2004 - 亞洲魅力」論壇的致辭 (十二月一日);http://www.info.gov.hk/gia/general/200412/01/1201236.htm
2004-11-22;署理行政長官曾蔭權在伊利沙伯體育館出席二○○四年撲滅罪行聯席會議的致辭全文(十一月二十二日);http://www.info.gov.hk/gia/general/200411/22/1122090.htm
2004-11-16;署理行政長官曾蔭權在第八屆海峽兩岸及港澳新聞研討會開幕典禮上的致辭全文(十一月六日);http://www.info.gov.hk/gia/general/200411/16/1116209.htm
2004-11-09;行政長官董建華在南華早報百周年酒會致辭的全文學(十一月九日);http://www.info.gov.hk/gia/general/200411/09/1109255.htm
2004-11-07;行政長官董建華出席「你我同心　共建廉政」慈善萬人行的致辭全文（十一月七日）;http://www.info.gov.hk/gia/general/200411/07/1107070.htm
2004-10-12;行政長官董建華在香港禮賓府款待法國總統希拉克的晚宴上的致辭全文(十月十二日);http://www.info.gov.hk/gia/general/200410/12/1012253.htm
2004-10-06;行政長官董建華在「二○○四雅典傷殘人士奧運會中國香港代表隊祝捷酒會」上的致辭全文(十月六日);http://www.info.gov.hk/gia/general/200410/06/1006209.htm
2004-10-01;行政長官董建華在香港會議展覽中心舉行的國慶酒會上致辭的全文;http://www.info.gov.hk/gia/general/200410/01/1001081.htm
2004-09-27;行政長官董建華在銅鑼灣中央圖書館舉行的中國外交55周年圖片展開幕儀式上的致辭全文(九月二十七日);http://www.info.gov.hk/gia/general/200409/27/0927250.htm
2004-09-21;行政長官董建華在福布斯全球行政總裁會議晚宴上致辭的全文;http://www.info.gov.hk/gia/general/200409/21/0921282.htm
2004-09-17;行政長官董建華出席在香港文化中心舉行的「公務員事務局局長嘉許狀」頒發典禮酒會致辭的全文;http://www.info.gov.hk/gia/general/200409/17/0917269.htm
2004-09-10;行政長官董建華出席行政長官卓越教學獎暨表揚教師計劃頒獎典禮的致辭全文;http://www.info.gov.hk/gia/general/200409/10/0910197.htm
2004-09-07;行政長官董建華在香港會議展覽中心舉行的邵逸夫獎頒獎典禮上致辭的全文;http://www.info.gov.hk/gia/general/200409/07/0907243.htm
2004-09-06;行政長官董建華在歡迎國家奧運金牌運動員酒會上的致辭全文;http://www.info.gov.hk/gia/general/200409/06/0906289.htm
2004-09-02;行政長官董建華在禮賓府出席「京港高層會晤暨京港經貿合作會議第一次會議」上致歡迎辭的全文;http://www.info.gov.hk/gia/general/200409/02/0902175.htm
2004-09-02;行政長官董建華在「京港高層會晤暨京港經貿合作會議第一次會議」的總結發言全文;http://www.info.gov.hk/gia/general/200409/02/0902204.htm
2004-09-02;行政長官董建華在香港會議展覽中心舉行的「第八屆北京‧香港經濟合作研討洽談會暨奧運經濟市場推介會」上的致辭全文;http://www.info.gov.hk/gia/general/200409/02/0902112.htm
2004-09-01;行政長官董建華在廣東省博物館新館設計合約簽署儀式上的致辭全文;http://www.info.gov.hk/gia/general/200409/01/0901182.htm
2004-08-31;行政長官董建華出席歡迎香港奧運會代表團返港的儀式時的致辭全文;http://www.info.gov.hk/gia/general/200408/31/0831159.htm
2004-08-31;行政長官董建華在禮賓府出席二○○四雅典傷殘人士奧運會中國香港代表隊出發授旗典禮的致辭全文;http://www.info.gov.hk/gia/general/200408/31/0831219.htm
2004-08-26;行政長官董建華在『世紀偉人－紀念鄧小平誕辰一百周年展覽』揭幕儀式上的致辭全文;http://www.info.gov.hk/gia/general/200408/26/0826257.htm
2004-08-23;行政長官董建華在香港經濟定位高峰會致辭的全文;http://www.info.gov.hk/gia/general/200408/23/0823225.htm
2004-08-20;行政長官董建華出席第五屆世界華人保險大會開幕禮致辭;http://www.info.gov.hk/gia/general/200408/20/0820213.htm
2004-08-04;行政長官董建華在廣州出席粵港合作聯席會議第七次會議的發言全文;http://www.info.gov.hk/gia/general/200408/04/0804140.htm
2004-08-04;行政長官董建華在廣州出席粵港合作聯席會議第七次會議的總結發言(八月四日);http://www.info.gov.hk/gia/general/200408/04/0804182.htm
2004-07-30;行政長官董建華出席二○○四奧運會中國香港代表團授旗儀式的致辭全文;http://www.info.gov.hk/gia/general/200407/30/0730246.htm
2004-07-20;行政長官董建華在香港禮賓府出席同心同根萬里行2004-中國近代史之旅授旗禮致辭全文;http://www.info.gov.hk/gia/general/200407/20/0720155.htm
2004-07-15;行政長官董建華舉行晚宴餞別第二屆立法會議員席上的講話全文;http://www.info.gov.hk/gia/general/200407/15/0715286.htm
2004-07-12;行政長官董建華出席紀念鄧小平誕辰一百周年暨《鄧小平論;http://www.info.gov.hk/gia/general/200407/12/0712228.htm
2004-07-12;行政長官董建華在款待新成立駐港外資企業的酒會上致辭的全文(七月十二日);http://www.info.gov.hk/gia/general/200407/12/0712278.htm
2004-07-06;行政長官董建華在「香港領袖生獎勵計劃：國情教育課程」研習班授旗典禮上的致辭全文;http://www.info.gov.hk/gia/general/200407/06/0706186.htm
2004-07-01;行政長官董建華在慶祝香港回歸七周年酒會上的致辭全文;http://www.info.gov.hk/gia/general/200407/01/0701092.htm
2004-06-21;行政長官出席慶祝香港回歸七周年晚宴講話;http://www.info.gov.hk/gia/general/200406/21/0621275.htm
2004-06-21;行政長官董建華主持「香港賽馬會藥物資訊天地」開幕典禮的致辭全文;http://www.info.gov.hk/gia/general/200406/21/0621171.htm
2004-06-15;行政長官董建華出席《鄧小平》電影首映籌款活動致辭全文;http://www.info.gov.hk/gia/general/200406/15/0615210.htm
2004-06-11;行政長官董建華出席聯合國駐中國機構在香港舉行的研討會致辭的全文(六月十一日);http://www.info.gov.hk/gia/general/200406/11/0611250.htm
2004-06-09;行政長官董建華在駐港領事團的晚宴上致辭的全文(六月九日);http://www.info.gov.hk/gia/general/200406/09/0609318.htm
2004-06-01;行政長官董建華在「泛珠三角」區域合作與發展論壇上的主調發言全文;http://www.info.gov.hk/gia/general/200406/01/0601202.htm
2004-06-01;行政長官董建華在「泛珠三角」區域合作與發展論壇的歡迎詞;http://www.info.gov.hk/gia/general/200406/01/0601100.htm
2004-05-31;行政長官董建華在泛珠三角區域合作與發展論壇代表團歡迎酒會上的致辭全文;http://www.info.gov.hk/gia/general/200405/31/0531235.htm
2004-05-29;行政長官董建華在第二十六屆亞太區口腔會議開幕禮致辭的全文;http://www.info.gov.hk/gia/general/200405/29/0529262.htm
2004-05-28;行政長官在華員會九十周年酒會上致辭;http://www.info.gov.hk/gia/general/200405/28/0528296.htm
